Date,510300.SH,588000.SH,510050.SH,510500.SH,513050.SH,159915.SZ,513330.SH,510180.SH,513180.SH,159920.SZ,159941.SZ,512100.SH,513060.SH,560050.SH,159781.SZ,159792.SZ,159901.SZ,513500.SH,510900.SH,513980.SH,513550.SH,517300.SH,515800.SH,517080.SH,513120.SH,159636.SZ,513700.SH,513090.SH,510210.SH,513030.SH,159866.SZ,517100.SH,513970.SH,513360.SH,159628.SZ,159912.SZ
2020/1/2,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/3,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/6,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/7,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/8,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/9,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/10,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/13,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/14,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/15,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/16,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/17,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/20,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/21,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/22,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/1/23,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
2020/2/3,403.20,0.00,461.91,445.40,14.18,167.31,0.00,199.56,0.00,46.87,0.31,1.99,0.00,0.00,0.00,0.00,80.55,14.78,103.39,0.00,0.00,0.00,49.85,0.00,0.00,0.00,0.00,0.00,1.98,4.70,0.00,0.00,0.00,0.00,0.00,1.21
