Date,510300.SH,588000.SH,510050.SH,510500.SH,513050.SH,159915.SZ,513330.SH,510180.SH,513180.SH,159920.SZ,159941.SZ,512100.SH,513060.SH,560050.SH,159781.SZ,159792.SZ,159901.SZ,513500.SH,510900.SH,513980.SH,513550.SH,517300.SH,515800.SH,517080.SH,513120.SH,159636.SZ,513700.SH,513090.SH,510210.SH,513030.SH,159866.SZ,517100.SH,513970.SH,513360.SH,159628.SZ,159912.SZ
2020/1/2,4.149,0,3.081,5.813,1.466,1.765,0,3.589,0,1.566,1.975,0.728,0,0,0,0,5.297,2.129,1.28,0,0,0,1.014,0,0,0,0,0,3.938,1.118,0,0,0,0,0,1.42
2020/1/3,4.139,0,3.068,5.824,1.479,1.764,0,3.571,0,1.567,1.984,0.731,0,0,0,0,5.288,2.151,1.278,0,0,0,1.014,0,0,0,0,0,3.934,1.123,0,0,0,0,0,1.423
2020/1/6,4.123,0,3.05,5.89,1.45,1.788,0,3.554,0,1.552,1.96,0.738,0,0,0,0,5.28,2.109,1.265,0,0,0,1.015,0,0,0,0,0,3.941,1.108,0,0,0,0,0,1.43
2020/1/7,4.155,0,3.062,5.966,1.474,1.822,0,3.574,0,1.56,1.98,0.75,0,0,0,0,5.336,2.118,1.271,0,0,0,1.026,0,0,0,0,0,3.964,1.121,0,0,0,0,0,1.448
2020/1/8,4.114,0,3.033,5.883,1.453,1.792,0,3.531,0,1.538,1.956,0.741,0,0,0,0,5.285,2.092,1.249,0,0,0,1.012,0,0,0,0,0,3.92,1.1,0,0,0,0,0,1.432
2020/1/9,4.158,0,3.057,5.957,1.49,1.839,0,3.569,0,1.559,1.991,0.751,0,0,0,0,5.401,2.117,1.268,0,0,0,1.026,0,0,0,0,0,3.946,1.116,0,0,0,0,0,1.45
2020/1/10,4.157,0,3.061,5.932,1.528,1.831,0,3.582,0,1.571,2.02,0.75,0,0,0,0,5.392,2.139,1.274,0,0,0,1.022,0,0,0,0,0,3.941,1.124,0,0,0,0,0,1.455
2020/1/13,4.202,0,3.08,6.031,1.542,1.862,0,3.608,0,1.582,2.009,0.76,0,0,0,0,5.473,2.133,1.284,0,0,0,1.033,0,0,0,0,0,3.965,1.12,0,0,0,0,0,1.477
2020/1/14,4.184,0,3.076,6.005,1.524,1.85,0,3.591,0,1.572,2.017,0.758,0,0,0,0,5.422,2.148,1.275,0,0,0,1.028,0,0,0,0,0,3.954,1.113,0,0,0,0,0,1.477
2020/1/15,4.152,0,3.046,5.987,1.529,1.847,0,3.558,0,1.566,2.004,0.757,0,0,0,0,5.405,2.141,1.267,0,0,0,1.024,0,0,0,0,0,3.931,1.113,0,0,0,0,0,1.473
2020/1/16,4.146,0,3.036,5.995,1.511,1.856,0,3.551,0,1.568,2,0.758,0,0,0,0,5.397,2.129,1.268,0,0,0,1.022,0,0,0,0,0,3.914,1.112,0,0,0,0,0,1.464
2020/1/17,4.151,0,3.042,5.961,1.505,1.858,0,3.561,0,1.569,2.037,0.754,0,0,0,0,5.406,2.136,1.269,0,0,0,1.019,0,0,0,0,0,3.908,1.112,0,0,0,0,0,1.465
2020/1/20,4.181,0,3.058,6.061,1.514,1.905,0,3.584,0,1.569,2.042,0.765,0,0,0,0,5.482,2.138,1.271,0,0,0,1.029,0,0,0,0,0,3.945,1.112,0,0,0,0,0,1.476
2020/1/21,4.105,0,3.007,5.99,1.483,1.892,0,3.52,0,1.533,2.014,0.757,0,0,0,0,5.372,2.138,1.236,0,0,0,1.014,0,0,0,0,0,3.886,1.102,0,0,0,0,0,1.454
2020/1/22,4.119,0,3.006,6.036,1.498,1.918,0,3.531,0,1.548,2.027,0.762,0,0,0,0,5.43,2.155,1.255,0,0,0,1.017,0,0,0,0,0,3.895,1.115,0,0,0,0,0,1.474
2020/1/23,3.996,0,2.925,5.811,1.454,1.853,0,3.434,0,1.522,2.021,0.735,0,0,0,0,5.223,2.148,1.229,0,0,0,0.989,0,0,0,0,0,3.799,1.104,0,0,0,0,0,1.445
2020/2/3,3.659,0,2.707,5.339,1.416,1.708,0,3.115,0,1.464,1.976,0.662,0,0,0,0,4.701,2.115,1.173,0,0,0,0.89,0,0,0,0,0,3.505,1.073,0,0,0,0,0,1.33
2020/2/4,3.77,0,2.785,5.429,1.481,1.816,0,3.24,0,1.483,2.046,0.671,0,0,0,0,4.962,2.129,1.191,0,0,0,0.927,0,0,0,0,0,3.58,1.086,0,0,0,0,0,1.374
2020/2/5,3.807,0,2.801,5.546,1.514,1.871,0,3.279,0,1.482,2.08,0.694,0,0,0,0,5.07,2.142,1.196,0,0,0,0.938,0,0,0,0,0,3.64,1.104,0,0,0,0,0,1.375
2020/2/6,3.897,0,2.842,5.711,1.529,1.93,0,3.322,0,1.516,2.119,0.713,0,0,0,0,5.179,2.18,1.224,0,0,0,0.955,0,0,0,0,0,3.7,1.12,0,0,0,0,0,1.4
2020/2/7,3.888,0,2.841,5.766,1.517,1.94,0,3.328,0,1.513,2.168,0.72,0,0,0,0,5.166,2.185,1.217,0,0,0,0.958,0,0,0,0,0,3.716,1.113,0,0,0,0,0,1.402
2020/2/10,3.901,0,2.839,5.822,1.515,1.961,0,3.327,0,1.509,2.202,0.73,0,0,0,0,5.208,2.189,1.213,0,0,0,0.963,0,0,0,0,0,3.749,1.108,0,0,0,0,0,1.422
2020/2/11,3.943,0,2.87,5.796,1.507,1.947,0,3.366,0,1.524,2.256,0.728,0,0,0,0,5.27,2.219,1.232,0,0,0,0.969,0,0,0,0,0,3.749,1.11,0,0,0,0,0,1.428
2020/2/12,3.971,0,2.883,5.914,1.52,2.006,0,3.385,0,1.533,2.302,0.745,0,0,0,0,5.319,2.258,1.238,0,0,0,0.978,0,0,0,0,0,3.785,1.118,0,0,0,0,0,1.441
2020/2/13,3.95,0,2.869,5.861,1.529,1.988,0,3.371,0,1.529,2.415,0.741,0,0,0,0,5.287,2.349,1.233,0,0,0,0.975,0,0,0,0,0,3.773,1.127,0,0,0,0,0,1.439
2020/2/14,3.977,0,2.885,5.868,1.524,1.987,0,3.39,0,1.536,2.269,0.744,0,0,0,0,5.323,2.248,1.238,0,0,0,0.981,0,0,0,0,0,3.792,1.122,0,0,0,0,0,1.442
