Date,510300.SH,588000.SH,510050.SH,510500.SH,513050.SH,159915.SZ,513330.SH,510180.SH,513180.SH,159920.SZ,159941.SZ,512100.SH,513060.SH,560050.SH,159781.SZ,159792.SZ,159901.SZ,513500.SH,510900.SH,513980.SH,513550.SH,517300.SH,515800.SH,517080.SH,513120.SH,159636.SZ,513700.SH,513090.SH,510210.SH,513030.SH,159866.SZ,517100.SH,513970.SH,513360.SH,159628.SZ,159912.SZ
2020/1/2,4.174,0,3.1,5.829,1.468,1.771,0,3.61,0,1.572,1.979,0.729,0,0,0,0,5.32,2.129,1.289,0,0,0,1.02,0,0,0,0,0,3.957,1.119,0,0,0,0,0,1.42
2020/1/3,4.162,0,3.09,5.846,1.493,1.774,0,3.593,0,1.587,1.997,0.732,0,0,0,0,5.323,2.158,1.294,0,0,0,1.019,0,0,0,0,0,3.948,1.126,0,0,0,0,0,1.423
2020/1/6,4.171,0,3.082,5.948,1.462,1.806,0,3.592,0,1.565,1.971,0.744,0,0,0,0,5.337,2.13,1.276,0,0,0,1.025,0,0,0,0,0,3.964,1.112,0,0,0,0,0,1.441
2020/1/7,4.16,0,3.074,5.968,1.477,1.823,0,3.582,0,1.569,1.982,0.75,0,0,0,0,5.336,2.124,1.28,0,0,0,1.028,0,0,0,0,0,3.964,1.125,0,0,0,0,0,1.448
2020/1/8,4.149,0,3.053,5.962,1.47,1.822,0,3.568,0,1.55,1.967,0.752,0,0,0,0,5.355,2.102,1.262,0,0,0,1.024,0,0,0,0,0,3.964,1.114,0,0,0,0,0,1.45
2020/1/9,4.165,0,3.063,5.958,1.496,1.842,0,3.572,0,1.562,1.994,0.752,0,0,0,0,5.401,2.12,1.271,0,0,0,1.028,0,0,0,0,0,3.956,1.119,0,0,0,0,0,1.478
2020/1/10,4.176,0,3.071,5.98,1.543,1.847,0,3.583,0,1.574,2.029,0.754,0,0,0,0,5.415,2.143,1.276,0,0,0,1.028,0,0,0,0,0,3.96,1.125,0,0,0,0,0,1.465
2020/1/13,4.205,0,3.081,6.035,1.543,1.862,0,3.608,0,1.584,2.015,0.76,0,0,0,0,5.473,2.137,1.284,0,0,0,1.033,0,0,0,0,0,3.965,1.126,0,0,0,0,0,1.478
2020/1/14,4.222,0,3.1,6.055,1.561,1.871,0,3.62,0,1.588,2.032,0.763,0,0,0,0,5.487,2.154,1.288,0,0,0,1.037,0,0,0,0,0,3.979,1.121,0,0,0,0,0,1.487
2020/1/15,4.19,0,3.079,6.008,1.538,1.856,0,3.595,0,1.58,2.011,0.76,0,0,0,0,5.44,2.143,1.283,0,0,0,1.03,0,0,0,0,0,3.958,1.115,0,0,0,0,0,1.482
2020/1/16,4.163,0,3.058,6.015,1.521,1.863,0,3.57,0,1.581,2.008,0.761,0,0,0,0,5.419,2.139,1.277,0,0,0,1.026,0,0,0,0,0,3.933,1.112,0,0,0,0,0,1.473
2020/1/17,4.175,0,3.063,6.019,1.517,1.874,0,3.578,0,1.584,2.041,0.761,0,0,0,0,5.448,2.148,1.279,0,0,0,1.026,0,0,0,0,0,3.934,1.115,0,0,0,0,0,1.473
2020/1/20,4.183,0,3.06,6.063,1.52,1.911,0,3.585,0,1.584,2.069,0.765,0,0,0,0,5.482,2.144,1.284,0,0,0,1.03,0,0,0,0,0,3.945,1.115,0,0,0,0,0,1.48
2020/1/21,4.163,0,3.043,6.044,1.501,1.911,0,3.57,0,1.557,2.045,0.765,0,0,0,0,5.468,2.14,1.262,0,0,0,1.025,0,0,0,0,0,3.945,1.114,0,0,0,0,0,1.473
