Date,510300.SH,588000.SH,510050.SH,510500.SH,513050.SH,159915.SZ,513330.SH,510180.SH,513180.SH,159920.SZ,159941.SZ,512100.SH,513060.SH,560050.SH,159781.SZ,159792.SZ,159901.SZ,513500.SH,510900.SH,513980.SH,513550.SH,517300.SH,515800.SH,517080.SH,513120.SH,159636.SZ,513700.SH,513090.SH,510210.SH,513030.SH,159866.SZ,517100.SH,513970.SH,513360.SH,159628.SZ,159912.SZ
2020/1/2,4.118,0,3.07,5.723,1.426,1.731,0,3.562,0,1.554,1.957,0.716,0,0,0,0,5.236,2.113,1.273,0,0,0,1.004,0,0,0,0,0,3.91,1.112,0,0,0,0,0,1.393
2020/1/3,4.133,0,3.064,5.8,1.469,1.751,0,3.568,0,1.566,1.971,0.726,0,0,0,0,5.262,2.129,1.276,0,0,0,1.012,0,0,0,0,0,3.868,1.12,0,0,0,0,0,1.412
2020/1/6,4.094,0,3.029,5.795,1.446,1.753,0,3.532,0,1.549,1.953,0.725,0,0,0,0,5.239,2.109,1.26,0,0,0,1.008,0,0,0,0,0,3.915,1.106,0,0,0,0,0,1.413
2020/1/7,4.128,0,3.051,5.888,1.459,1.792,0,3.554,0,1.558,1.97,0.736,0,0,0,0,5.281,2.116,1.267,0,0,0,1.019,0,0,0,0,0,3.931,1.109,0,0,0,0,0,1.43
2020/1/8,4.097,0,3.024,5.865,1.45,1.789,0,3.521,0,1.533,1.952,0.737,0,0,0,0,5.273,2.071,1.248,0,0,0,1.011,0,0,0,0,0,3.911,1.009,0,0,0,0,0,1.431
2020/1/9,4.134,0,3.046,5.907,1.475,1.811,0,3.548,0,1.553,1.975,0.745,0,0,0,0,5.333,2.113,1.254,0,0,0,1.02,0,0,0,0,0,3.93,1.11,0,0,0,0,0,1.432
2020/1/10,4.144,0,3.052,5.901,1.498,1.821,0,3.561,0,1.564,1.995,0.746,0,0,0,0,5.374,2.125,1.268,0,0,0,1.019,0,0,0,0,0,3.928,1.122,0,0,0,0,0,1.449
2020/1/13,4.141,0,3.045,5.892,1.514,1.82,0,3.553,0,1.57,2,0.745,0,0,0,0,5.388,2.124,1.272,0,0,0,1.018,0,0,0,0,0,3.929,1.117,0,0,0,0,0,1.446
2020/1/14,4.18,0,3.069,5.999,1.522,1.849,0,3.585,0,1.571,2.006,0.757,0,0,0,0,5.416,2.14,1.274,0,0,0,1.028,0,0,0,0,0,3.95,1.109,0,0,0,0,0,1.476
2020/1/15,4.145,0,3.045,5.946,1.507,1.829,0,3.555,0,1.562,1.997,0.744,0,0,0,0,5.374,2.13,1.266,0,0,0,1.02,0,0,0,0,0,3.92,1.11,0,0,0,0,0,1.45
2020/1/16,4.135,0,3.027,5.971,1.503,1.842,0,3.539,0,1.565,2,0.756,0,0,0,0,5.38,2.128,1.266,0,0,0,1.019,0,0,0,0,0,3.907,1.108,0,0,0,0,0,1.455
2020/1/17,4.137,0,3.033,5.945,1.504,1.853,0,3.547,0,1.569,2.012,0.753,0,0,0,0,5.394,2.135,1.266,0,0,0,1.017,0,0,0,0,0,3.903,1.11,0,0,0,0,0,1.458
2020/1/20,4.142,0,3.045,5.951,1.51,1.861,0,3.559,0,1.563,2.037,0.753,0,0,0,0,5.392,2.136,1.265,0,0,0,1.019,0,0,0,0,0,3.881,1.112,0,0,0,0,0,1.459
2020/1/21,4.1,0,3.004,5.964,1.482,1.881,0,3.517,0,1.531,2.013,0.757,0,0,0,0,5.366,2.135,1.235,0,0,0,1.013,0,0,0,0,0,3.885,1.099,0,0,0,0,0,1.454
2020/1/22,4.034,0,2.956,5.885,1.462,1.852,0,3.46,0,1.532,2.011,0.743,0,0,0,0,5.263,2.138,1.235,0,0,0,0.996,0,0,0,0,0,3.838,1.104,0,0,0,0,0,1.418
2020/1/23,3.956,0,2.904,5.764,1.435,1.829,0,3.396,0,1.518,2.01,0.726,0,0,0,0,5.172,2.139,1.225,0,0,0,0.981,0,0,0,0,0,3.767,1.098,0,0,0,0,0,1.414
2020/2/3,3.636,0,2.667,5.3,1.377,1.669,0,3.101,0,1.438,1.93,0.662,0,0,0,0,4.701,2.055,1.155,0,0,0,0.89,0,0,0,0,0,3.476,1.062,0,0,0,0,0,1.301
2020/2/4,3.649,0,2.71,5.284,1.443,1.715,0,3.125,0,1.468,1.996,0.658,0,0,0,0,4.71,2.116,1.177,0,0,0,0.891,0,0,0,0,0,3.49,1.075,0,0,0,0,0,1.284
2020/2/5,3.768,0,2.77,5.42,1.496,1.818,0,3.225,0,1.478,2.067,0.67,0,0,0,0,4.973,2.14,1.19,0,0,0,0.922,0,0,0,0,0,3.583,1.093,0,0,0,0,0,1.365
