Date,510300.SH,588000.SH,510050.SH,510500.SH,513050.SH,159915.SZ,513330.SH,510180.SH,513180.SH,159920.SZ,159941.SZ,512100.SH,513060.SH,560050.SH,159781.SZ,159792.SZ,159901.SZ,513500.SH,510900.SH,513980.SH,513550.SH,517300.SH,515800.SH,517080.SH,513120.SH,159636.SZ,513700.SH,513090.SH,510210.SH,513030.SH,159866.SZ,517100.SH,513970.SH,513360.SH,159628.SZ,159912.SZ
2020/1/2,1.293945313,0,0.752125572,1.893076249,2.949438202,2.023121387,0,1.212633954,0,0.902061856,0.971370143,1.960784314,0,0,0,0,1.70890937,0.852676457,0.628930818,0,0,0,1.09670987,0,0,0,0,0,0.793447658,0.630063006,0,0,0,0,0,2.379235761
2020/1/3,-0.241021933,0,-0.421940928,0.189231034,0.886766712,-0.056657224,0,-0.50153246,0,0.06385696,0.455696203,0.412087912,0,0,0,0,-0.169907495,1.03334899,-0.15625,0,0,0,0,0,0,0,0,0,-0.101574403,0.447227191,0,0,0,0,0,0.211267606
2020/1/6,-0.386566804,0,-0.586701434,1.133241758,-1.960784314,1.360544218,0,-0.476057127,0,-0.95724314,-1.209677419,0.957592339,0,0,0,0,-0.15128593,-1.952580195,-1.017214397,0,0,0,0.098619329,0,0,0,0,0,0.177935943,-1.335707925,0,0,0,0,0,0.491918482
2020/1/7,0.776133883,0,0.393442623,1.290322581,1.655172414,1.901565996,0,0.562746201,0,0.515463918,1.020408163,1.62601626,0,0,0,0,1.060606061,0.426742532,0.4743083,0,0,0,1.083743842,0,0,0,0,0,0.583608221,1.173285199,0,0,0,0,0,1.258741259
2020/1/8,-0.986762936,0,-0.947093403,-1.391216896,-1.424694708,-1.646542261,0,-1.203133744,0,-1.41025641,-1.212121212,-1.2,0,0,0,0,-0.955772114,-1.227573182,-1.730920535,0,0,0,-1.364522417,0,0,0,0,0,-1.109989909,-1.873327386,0,0,0,0,0,-1.104972376
2020/1/9,1.069518717,0,0.791295747,1.257861635,2.546455609,2.622767857,0,1.076182385,0,1.365409623,1.789366053,1.349527665,0,0,0,0,2.194891202,1.195028681,1.521216974,0,0,0,1.383399209,0,0,0,0,0,0.663265306,1.454545455,0,0,0,0,0,1.25698324
2020/1/10,-0.024050024,0,0.130847236,-0.419674333,2.55033557,-0.435019032,0,0.364247688,0,0.769724182,1.456554495,-0.133155792,0,0,0,0,-0.166635808,1.039206424,0.47318612,0,0,0,-0.389863548,0,0,0,0,0,-0.126710593,0.716845878,0,0,0,0,0,0.344827586
2020/1/13,1.082511427,0,0.620712186,1.668914363,0.916230366,1.6930639,0,0.72585148,0,0.700190961,-0.544554455,1.333333333,0,0,0,0,1.502225519,-0.280504909,0.784929356,0,0,0,1.076320939,0,0,0,0,0,0.608982492,-0.355871886,0,0,0,0,0,1.512027491
2020/1/14,-0.428367444,0,-0.12987013,-0.431105953,-1.167315175,-0.644468314,0,-0.471175166,0,-0.632111252,0.398208064,-0.263157895,0,0,0,0,-0.93184725,0.70323488,-0.700934579,0,0,0,-0.484027106,0,0,0,0,0,-0.277427491,-0.625,0,0,0,0,0,0
2020/1/15,-0.764818356,0,-0.975292588,-0.299750208,0.32808399,-0.162162162,0,-0.918964077,0,-0.381679389,-0.644521567,-0.131926121,0,0,0,0,-0.31353744,-0.325884544,-0.62745098,0,0,0,-0.389105058,0,0,0,0,0,-0.581689428,0,0,0,0,0,0,-0.270819228
