Date,512660.SH,512710.SH,512670.SH,159638.SZ,159667.SZ,516960.SH,562500.SH,516800.SH,159997.SZ,515260.SH,515790.SH,515030.SH,515700.SH,516160.SH,512400.SH,159755.SZ,159796.SZ,561160.SH,516110.SH,515250.SH,516520.SH,516920.SH,159995.SZ,512760.SH,588200.SH,561100.SH,159732.SZ,515880.SH,159695.SZ,512480.SH,515050.SH,159786.SZ,515000.SH,512980.SH,159939.SZ,159819.SZ,159998.SZ,560800.SH,515070.SH,515400.SH,515230.SH,159852.SZ,517050.SH,516510.SH,159807.SZ,159869.SZ,515580.SH,516770.SH,512220.SH,512330.SH,588100.SH,562920.SH,515980.SH,512170.SH,512010.SH,512290.SH,159992.SZ,159938.SZ,159859.SZ,516820.SH,159657.SZ,159883.SZ,515950.SH,159929.SZ,560080.SH,159837.SZ,562860.SH,159736.SZ,515170.SH,512690.SH,159928.SZ,159865.SZ,159825.SZ,159766.SZ,512600.SH,515650.SH,510630.SH,510150.SH,516600.SH,159996.SZ,512200.SH,516970.SH,516950.SH,159745.SZ,512880.SH,512000.SH,512800.SH,515290.SH,512070.SH,510230.SH,159940.SZ,159993.SZ,510810.SH,512950.SH,512960.SH,515900.SH,560700.SH,560070.SH,561960.SH,517180.SH,159623.SZ,159743.SZ,512970.SH,515150.SH,512650.SH,562990.SH,159790.SZ,512580.SH,517160.SH,517330.SH,159611.SZ,561170.SH,560180.SH,515220.SH,159870.SZ,515210.SH,159671.SZ,159652.SZ,560860.SH,516150.SH,510410.SH,159666.SZ,516260.SH,516530.SH,510880.SH,159905.SZ,515180.SH,515080.SH,512750.SH,159973.SZ,518880.SH,159985.SZ,159981.SZ
2020/1/2,"12,509.3807","15,049.8346","1,100.0463",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"5,516.4689",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"58,744.3328",0.0000,0.0000,0.0000,"13,209.5345",0.0000,"12,346.1330","60,419.9500",0.0000,"64,340.3829","7,095.0934","7,709.2512",0.0000,0.0000,0.0000,"13,373.2108",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"3,637.9089",0.0000,10.5159,"1,429.2440",0.0000,0.0000,0.0000,"5,150.4992","17,840.5377","7,261.4738",0.0000,"3,412.3452",0.0000,0.0000,0.0000,0.0000,0.0000,"2,824.7730",0.0000,0.0000,0.0000,0.0000,0.0000,"4,059.2320","5,890.5887",0.0000,0.0000,0.0000,65.2767,"5,618.2601",160.7438,274.7896,0.0000,0.0000,"1,925.5128",0.0000,0.0000,0.0000,"147,428.9709","71,218.2390","32,211.0117",0.0000,"2,842.0793","3,956.8412",111.9372,0.0000,"9,138.2138","1,083.8738",984.3022,209.2113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,819.7969,0.0000,"4,247.5628",0.0000,0.0000,894.0821,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,708.4939,0.0000,0.0000,0.0000,"6,297.3571","8,313.1355","7,898.6936","2,624.5126","13,744.6631",0.9729,"128,758.3746","1,167.2903",0.0000
2020/1/3,"28,601.8803","22,835.4552","2,737.8035",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"11,016.7985",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"41,195.8091",0.0000,0.0000,0.0000,"11,967.2140",0.0000,"5,784.5321","44,487.0633",0.0000,"49,593.7091","16,984.2029","6,551.6854",0.0000,0.0000,0.0000,"5,932.1375",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"3,085.2999",0.0000,6.8642,759.4492,0.0000,0.0000,0.0000,"5,107.7231","8,785.2448","4,403.1665",0.0000,"1,778.3879",0.0000,0.0000,0.0000,0.0000,0.0000,"2,180.4057",0.0000,0.0000,0.0000,0.0000,0.0000,"3,743.5532","5,995.9597",0.0000,0.0000,0.0000,103.8862,"2,869.6290",235.4103,506.6799,0.0000,0.0000,"1,733.0057",0.0000,0.0000,0.0000,"111,126.2359","46,917.1813","14,076.1603",0.0000,"2,363.6269","3,669.8270",452.8453,0.0000,"1,076.3593","1,156.5161","4,515.4733",31.2930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,428.5992,0.0000,440.4265,0.0000,0.0000,830.2935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,767.0497,0.0000,0.0000,0.0000,"5,377.0238","4,622.7751","4,419.9455","2,893.4135","13,713.3165",13.4648,"125,488.1697","1,041.2359",0.0000
2020/1/6,"33,918.9703","13,071.9053","1,931.5488",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"11,193.8460",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"48,552.8180",0.0000,0.0000,0.0000,"13,620.1176",0.0000,"6,797.3316","44,618.6924",0.0000,"61,661.2754","10,938.4451","6,999.4955",0.0000,0.0000,0.0000,"7,169.5887",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"2,988.4310",0.0000,11.1356,"1,279.5925",0.0000,0.0000,0.0000,"5,119.2457","15,271.8114","6,068.9935",0.0000,"2,699.5970",0.0000,0.0000,0.0000,0.0000,0.0000,"2,122.2074",0.0000,0.0000,0.0000,0.0000,0.0000,"3,882.3248","7,531.6402",0.0000,0.0000,0.0000,42.3770,"4,694.9923",90.7099,361.6556,0.0000,0.0000,"1,790.6150",0.0000,0.0000,0.0000,"139,182.5750","71,020.3483","16,156.9447",0.0000,"2,830.4146","3,994.9652",342.4252,0.0000,"1,200.7880","2,169.3742","9,586.2787",75.4275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,360.2213,0.0000,463.3541,0.0000,0.0000,"1,283.5671",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"1,214.5619",0.0000,0.0000,0.0000,"4,536.2862","5,847.8053","7,579.6464","2,338.4873","3,090.8711",1.0989,"161,349.4876","1,124.9379",0.0000
2020/1/7,"14,798.6078","14,211.0653","1,604.8949",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"8,817.1600",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"34,089.8481",0.0000,0.0000,0.0000,"6,652.3720",0.0000,"6,360.9601","34,772.2667",0.0000,"33,302.5063","13,329.0526","4,205.2877",0.0000,0.0000,0.0000,"4,414.5238",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"2,526.5917",0.0000,9.3189,"1,307.9502",0.0000,0.0000,0.0000,"5,661.0765","11,197.4443","4,261.9172",0.0000,"2,086.6374",0.0000,0.0000,0.0000,0.0000,0.0000,"1,896.4071",0.0000,0.0000,0.0000,0.0000,0.0000,"3,488.6701","5,695.0347",0.0000,0.0000,0.0000,124.3229,"3,831.0985",154.7429,349.8367,0.0000,0.0000,"1,302.9376",0.0000,0.0000,0.0000,"115,124.4030","55,866.6651","11,258.9922",0.0000,"2,201.2214","3,269.2935",174.2605,0.0000,"1,159.3447",950.1869,"8,019.1987",64.1476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,312.0419,0.0000,108.0942,0.0000,0.0000,"1,817.5607",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"1,045.9673",0.0000,0.0000,0.0000,"3,246.4817","5,668.3724","5,568.9063","1,052.6140","2,119.7681",5.5748,"124,970.4636",387.7502,0.0000
2020/1/8,"36,502.1486","11,099.5978","1,474.2976",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"10,009.0221",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"45,024.3978",0.0000,0.0000,0.0000,"11,631.1543",0.0000,"9,341.3357","49,920.8192",0.0000,"47,935.7315","16,550.4152","10,493.3053",0.0000,0.0000,0.0000,"4,037.1473",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"3,473.9897",0.0000,18.1152,"1,235.8061",0.0000,0.0000,0.0000,"6,382.6976","6,181.7594","3,288.5062",0.0000,"1,554.9931",0.0000,0.0000,0.0000,0.0000,0.0000,"1,317.7795",0.0000,0.0000,0.0000,0.0000,0.0000,"3,371.5881","3,736.9600",0.0000,0.0000,0.0000,60.6047,"3,089.1697",144.2799,230.4679,0.0000,0.0000,"1,758.8744",0.0000,0.0000,0.0000,"191,087.3885","95,369.0840","18,811.7699",0.0000,"3,171.7635","13,266.0703",383.6848,0.0000,968.1854,813.3492,"22,119.8081",47.2503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,221.0629,0.0000,"15,498.1463",0.0000,0.0000,"1,448.7931",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"1,196.7536",0.0000,0.0000,0.0000,"9,845.1932","3,718.2857","3,658.6389","1,875.0226","3,247.2942",0.8990,"192,667.9989","1,742.0574",0.0000
2020/1/9,"23,579.8797","14,793.8340","2,635.1239",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"7,910.2426",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"47,697.0081",0.0000,0.0000,0.0000,"10,085.1270",0.0000,"9,763.0111","73,985.2807",0.0000,"48,584.2141","15,304.3668","7,438.8125",0.0000,0.0000,0.0000,"6,219.7920",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"3,330.0657",0.0000,73.2330,"1,460.5612",0.0000,0.0000,0.0000,"10,753.8788","13,733.3221","4,957.7663",0.0000,"2,486.7735",0.0000,0.0000,0.0000,0.0000,0.0000,"2,904.8594",0.0000,0.0000,0.0000,0.0000,0.0000,"4,856.6320","4,615.9606",0.0000,0.0000,0.0000,64.0236,"5,537.5142",104.2189,209.4884,0.0000,0.0000,"1,470.4359",0.0000,0.0000,0.0000,"111,025.0800","47,081.1126","35,467.9144",0.0000,"2,188.7726","4,167.4322",20.2021,0.0000,"10,347.3031","1,534.0460","15,672.4659",48.0764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,844.4997,0.0000,336.0838,0.0000,0.0000,781.5866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"1,199.0364",0.0000,0.0000,0.0000,"9,067.8072","4,177.7684","4,455.2927","1,389.8154","1,333.6597",1.1071,"153,408.3852","1,999.1686",0.0000
2020/1/10,"10,970.3129","13,214.6828","1,408.8735",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"4,394.5625",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"63,276.4298",0.0000,0.0000,0.0000,"6,922.2775",0.0000,"12,023.0033","53,342.2938",0.0000,"45,660.4594","4,840.7067","7,539.1994",0.0000,0.0000,0.0000,"5,940.8804",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"2,542.4731",0.0000,10.2057,"1,850.6902",0.0000,0.0000,0.0000,"6,003.1035","9,874.7693","4,306.6875",0.0000,"3,246.6800",0.0000,0.0000,0.0000,0.0000,0.0000,"1,677.1429",0.0000,0.0000,0.0000,0.0000,0.0000,"5,185.1964","4,051.2615",0.0000,0.0000,0.0000,39.7107,"4,008.8683",99.4462,247.0027,0.0000,0.0000,994.4630,0.0000,0.0000,0.0000,"116,720.6439","52,216.3748","10,139.9581",0.0000,"2,330.8129","2,424.0703",522.1806,0.0000,"1,298.5806",554.5215,337.4867,140.6544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,380.7451,0.0000,"15,663.4948",0.0000,0.0000,"1,084.0642",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,665.0870,0.0000,0.0000,0.0000,"7,951.5320","3,967.9476","3,551.2703",920.7424,"1,379.6500",12.3286,"93,056.5151","2,849.0555",0.0000
2020/1/13,"11,006.9392","14,314.5675","1,505.4900",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"6,503.7615",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"73,614.0919",0.0000,0.0000,0.0000,"8,173.4958",0.0000,"15,402.1372","41,966.9722",0.0000,"64,424.1321","5,360.1874","7,373.5547",0.0000,0.0000,0.0000,"4,943.1842",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"2,096.3448",0.0000,13.5859,"1,137.1864",0.0000,0.0000,0.0000,"4,586.4473","7,778.4282","4,316.7259",0.0000,"1,793.4780",0.0000,0.0000,0.0000,0.0000,0.0000,"1,442.1105",0.0000,0.0000,0.0000,0.0000,0.0000,"5,334.3323","4,154.5193",0.0000,0.0000,0.0000,78.5095,"4,473.4198",413.7368,265.9493,0.0000,0.0000,920.8308,0.0000,0.0000,0.0000,"168,103.9995","68,728.3815","13,057.7448",0.0000,"2,754.9910","3,558.4239",94.8045,0.0000,"1,081.5476","1,025.4735","1,625.0628",43.7306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,403.7840,0.0000,453.5684,0.0000,0.0000,"1,038.8944",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,505.1663,0.0000,0.0000,0.0000,"4,511.3383","6,285.4539","3,242.6804","1,265.9075","1,639.4213",2.2156,"147,421.4156","1,848.4346",0.0000
2020/1/14,"12,478.2758","11,005.3938",543.8005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"11,045.0040",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"45,219.0524",0.0000,0.0000,0.0000,"7,064.2513",0.0000,"14,506.1124","60,083.0321",0.0000,"53,993.0863","7,640.3107","6,985.3623",0.0000,0.0000,0.0000,"4,911.1390",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"1,881.9631",0.0000,26.5442,"1,580.5544",0.0000,0.0000,0.0000,"4,246.6248","7,071.1383","3,100.3735",0.0000,"2,248.3176",0.0000,0.0000,0.0000,0.0000,0.0000,"1,248.7845",0.0000,0.0000,0.0000,0.0000,0.0000,"4,247.1581","3,932.3548",0.0000,0.0000,0.0000,23.4932,"2,301.9566",101.5674,259.7472,0.0000,0.0000,"1,287.7219",0.0000,0.0000,0.0000,"122,835.5471","50,959.0027","14,835.9531",0.0000,"2,540.9090","3,262.6651",130.4420,0.0000,"1,307.6406",274.1097,393.8564,57.8208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"10,123.0887",0.0000,249.4215,0.0000,0.0000,"3,185.1486",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"1,031.9618",0.0000,0.0000,0.0000,"9,969.1694","4,873.0745","7,375.0404",938.1527,"2,178.5490",7.7371,"143,042.4559","3,473.4123",0.0000
2020/1/15,"14,355.7029","16,758.3377",804.2676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"5,533.8636",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"70,201.8717",0.0000,0.0000,0.0000,"6,109.2304",0.0000,"13,662.9605","47,952.6418",0.0000,"52,815.2374","4,149.4771","9,533.2088",0.0000,0.0000,0.0000,"4,074.3629",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"2,003.1197",0.0000,7.0933,"1,207.6118",0.0000,0.0000,0.0000,"4,733.4365","7,351.5098","3,953.9035",0.0000,"1,498.2935",0.0000,0.0000,0.0000,0.0000,0.0000,899.0256,0.0000,0.0000,0.0000,0.0000,0.0000,"4,749.1440","3,400.5944",0.0000,0.0000,0.0000,25.2343,"2,888.6731",194.7007,160.4377,0.0000,0.0000,892.0451,0.0000,0.0000,0.0000,"87,863.8296","33,478.2372","13,083.4504",0.0000,"2,149.1937","3,796.6572",185.0929,0.0000,"1,224.2848",471.8156,481.7822,103.0892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"15,244.1704","57,579.9272",21.6010,0.0000,0.0000,"2,169.1977",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,713.6878,0.0000,0.0000,0.0000,"8,219.8875","4,531.9237","2,186.2239",867.8160,"1,614.5700",2.6163,"143,437.2564","2,406.8548",0.0000
