Date,512660.SH,512710.SH,512670.SH,159638.SZ,159667.SZ,516960.SH,562500.SH,516800.SH,159997.SZ,515260.SH,515790.SH,515030.SH,515700.SH,516160.SH,512400.SH,159755.SZ,159796.SZ,561160.SH,516110.SH,515250.SH,516520.SH,516920.SH,159995.SZ,512760.SH,588200.SH,561100.SH,159732.SZ,515880.SH,159695.SZ,512480.SH,515050.SH,159786.SZ,515000.SH,512980.SH,159939.SZ,159819.SZ,159998.SZ,560800.SH,515070.SH,515400.SH,515230.SH,159852.SZ,517050.SH,516510.SH,159807.SZ,159869.SZ,515580.SH,516770.SH,512220.SH,512330.SH,588100.SH,562920.SH,515980.SH,512170.SH,512010.SH,512290.SH,159992.SZ,159938.SZ,159859.SZ,516820.SH,159657.SZ,159883.SZ,515950.SH,159929.SZ,560080.SH,159837.SZ,562860.SH,159736.SZ,515170.SH,512690.SH,159928.SZ,159865.SZ,159825.SZ,159766.SZ,512600.SH,515650.SH,510630.SH,510150.SH,516600.SH,159996.SZ,512200.SH,516970.SH,516950.SH,159745.SZ,512880.SH,512000.SH,512800.SH,515290.SH,512070.SH,510230.SH,159940.SZ,159993.SZ,510810.SH,512950.SH,512960.SH,515900.SH,560700.SH,560070.SH,561960.SH,517180.SH,159623.SZ,159743.SZ,512970.SH,515150.SH,512650.SH,562990.SH,159790.SZ,512580.SH,517160.SH,517330.SH,159611.SZ,561170.SH,560180.SH,515220.SH,159870.SZ,515210.SH,159671.SZ,159652.SZ,560860.SH,516150.SH,510410.SH,159666.SZ,516260.SH,516530.SH,510880.SH,159905.SZ,515180.SH,515080.SH,512750.SH,159973.SZ,518880.SH,159985.SZ,159981.SZ
2020/1/2,24.4779,63.0749,1.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8851,0.0000,4.4785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4494,0.0000,0.0000,0.0000,12.8519,0.0000,7.6699,76.7668,0.0000,71.7725,16.8284,14.3512,0.0000,0.0000,0.0000,9.9097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4643,0.0000,3.1821,7.8168,0.0000,0.0000,2.9506,3.8754,13.4372,5.0195,0.0000,24.1270,0.0000,0.0000,0.0000,0.0000,0.0000,3.4850,0.0000,0.0000,0.0000,0.0000,0.0000,1.8121,35.3178,0.0000,0.0000,0.0000,0.1769,6.7216,2.2550,1.6524,0.0000,0.0000,1.7999,0.0000,0.0000,0.0000,139.6803,56.8040,29.2645,0.0000,20.9561,48.7414,6.7508,9.7470,120.6594,131.6099,138.7160,157.3637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.2043,82.6670,47.7663,0.0000,0.0000,18.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1665,0.0000,0.0000,0.0000,30.6928,18.3292,9.9395,3.5425,8.0674,4.3429,69.9464,2.4865,4.8454
2020/1/3,24.4779,63.0749,1.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8851,0.0000,4.4785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4494,0.0000,0.0000,0.0000,12.8519,0.0000,7.6699,76.7668,0.0000,71.7725,16.8284,14.3512,0.0000,0.0000,0.0000,9.9097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4643,0.0000,3.1821,7.8168,0.0000,0.0000,2.9506,3.8754,13.4372,5.0195,0.0000,24.1270,0.0000,0.0000,0.0000,0.0000,0.0000,3.4850,0.0000,0.0000,0.0000,0.0000,0.0000,1.8121,35.3178,0.0000,0.0000,0.0000,0.1769,6.7216,2.2550,1.6524,0.0000,0.0000,1.7999,0.0000,0.0000,0.0000,139.6803,56.8040,29.2645,0.0000,20.9561,48.7414,6.7508,9.7470,120.6594,131.6099,138.7160,157.3637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.2043,82.6670,47.7663,0.0000,0.0000,18.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1665,0.0000,0.0000,0.0000,30.6928,18.3292,9.9395,3.5425,8.0674,4.3429,69.9464,2.4865,4.8454
2020/1/6,24.4779,63.0749,1.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8851,0.0000,4.4785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4494,0.0000,0.0000,0.0000,12.8519,0.0000,7.6699,76.7668,0.0000,71.7725,16.8284,14.3512,0.0000,0.0000,0.0000,9.9097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4643,0.0000,3.1821,7.8168,0.0000,0.0000,2.9506,3.8754,13.4372,5.0195,0.0000,24.1270,0.0000,0.0000,0.0000,0.0000,0.0000,3.4850,0.0000,0.0000,0.0000,0.0000,0.0000,1.8121,35.3178,0.0000,0.0000,0.0000,0.1769,6.7216,2.2550,1.6524,0.0000,0.0000,1.7999,0.0000,0.0000,0.0000,139.6803,56.8040,29.2645,0.0000,20.9561,48.7414,6.7508,9.7470,120.6594,131.6099,138.7160,157.3637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.2043,82.6670,47.7663,0.0000,0.0000,18.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1665,0.0000,0.0000,0.0000,30.6928,18.3292,9.9395,3.5425,8.0674,4.3429,69.9464,2.4865,4.8454
2020/1/7,24.4779,63.0749,1.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8851,0.0000,4.4785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4494,0.0000,0.0000,0.0000,12.8519,0.0000,7.6699,76.7668,0.0000,71.7725,16.8284,14.3512,0.0000,0.0000,0.0000,9.9097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4643,0.0000,3.1821,7.8168,0.0000,0.0000,2.9506,3.8754,13.4372,5.0195,0.0000,24.1270,0.0000,0.0000,0.0000,0.0000,0.0000,3.4850,0.0000,0.0000,0.0000,0.0000,0.0000,1.8121,35.3178,0.0000,0.0000,0.0000,0.1769,6.7216,2.2550,1.6524,0.0000,0.0000,1.7999,0.0000,0.0000,0.0000,139.6803,56.8040,29.2645,0.0000,20.9561,48.7414,6.7508,9.7470,120.6594,131.6099,138.7160,157.3637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.2043,82.6670,47.7663,0.0000,0.0000,18.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1665,0.0000,0.0000,0.0000,30.6928,18.3292,9.9395,3.5425,8.0674,4.3429,69.9464,2.4865,4.8454
2020/1/8,24.4779,63.0749,1.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8851,0.0000,4.4785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4494,0.0000,0.0000,0.0000,12.8519,0.0000,7.6699,76.7668,0.0000,71.7725,16.8284,14.3512,0.0000,0.0000,0.0000,9.9097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4643,0.0000,3.1821,7.8168,0.0000,0.0000,2.9506,3.8754,13.4372,5.0195,0.0000,24.1270,0.0000,0.0000,0.0000,0.0000,0.0000,3.4850,0.0000,0.0000,0.0000,0.0000,0.0000,1.8121,35.3178,0.0000,0.0000,0.0000,0.1769,6.7216,2.2550,1.6524,0.0000,0.0000,1.7999,0.0000,0.0000,0.0000,139.6803,56.8040,29.2645,0.0000,20.9561,48.7414,6.7508,9.7470,120.6594,131.6099,138.7160,157.3637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.2043,84.4385,47.7663,0.0000,0.0000,18.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1665,0.0000,0.0000,0.0000,30.6928,18.3292,9.9395,3.5425,8.0674,4.3429,69.9464,2.4865,4.8454
2020/1/9,24.4779,63.0749,1.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8851,0.0000,4.4785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4494,0.0000,0.0000,0.0000,12.8519,0.0000,7.6699,76.7668,0.0000,71.7725,16.8284,14.3512,0.0000,0.0000,0.0000,9.9097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4643,0.0000,3.1821,7.8168,0.0000,0.0000,2.9506,3.8754,13.4372,5.0195,0.0000,24.1270,0.0000,0.0000,0.0000,0.0000,0.0000,3.4850,0.0000,0.0000,0.0000,0.0000,0.0000,1.8121,35.3178,0.0000,0.0000,0.0000,0.1769,6.7216,2.2550,1.6524,0.0000,0.0000,1.7999,0.0000,0.0000,0.0000,139.6803,56.8040,29.2645,0.0000,20.9561,48.7414,6.7508,9.7470,120.6594,131.6099,138.7160,157.3637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.2043,84.4385,47.7663,0.0000,0.0000,18.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1665,0.0000,0.0000,0.0000,30.6928,18.3292,9.9395,3.5425,8.0674,4.3429,69.9464,2.4865,4.8454
2020/1/10,24.4779,63.0749,1.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8851,0.0000,4.4785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4494,0.0000,0.0000,0.0000,12.8519,0.0000,7.6699,76.7668,0.0000,71.7725,16.8284,14.3512,0.0000,0.0000,0.0000,9.9097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4643,0.0000,3.1821,7.8168,0.0000,0.0000,2.9506,3.8754,13.4372,5.0195,0.0000,24.1270,0.0000,0.0000,0.0000,0.0000,0.0000,3.4850,0.0000,0.0000,0.0000,0.0000,0.0000,1.8121,35.3178,0.0000,0.0000,0.0000,0.1769,6.7216,2.2550,1.6524,0.0000,0.0000,1.7999,0.0000,0.0000,0.0000,139.6803,56.8040,29.2645,0.0000,20.9561,48.7414,6.7508,9.7470,120.6594,131.6099,138.7160,157.3637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.2043,84.4385,47.7663,0.0000,0.0000,18.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1665,0.0000,0.0000,0.0000,30.6928,18.3292,9.9395,3.5425,8.0674,4.3429,69.9464,2.4865,4.8458
2020/1/13,24.4779,63.0749,1.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8851,0.0000,4.4785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4494,0.0000,0.0000,0.0000,12.8519,0.0000,7.6699,76.7668,0.0000,71.7725,16.8284,14.3512,0.0000,0.0000,0.0000,9.9097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4643,0.0000,3.1821,7.8168,0.0000,0.0000,2.9506,3.8754,13.4372,5.0195,0.0000,24.1270,0.0000,0.0000,0.0000,0.0000,0.0000,3.4850,0.0000,0.0000,0.0000,0.0000,0.0000,1.8121,35.3178,0.0000,0.0000,0.0000,0.1769,6.7216,2.2550,1.6524,0.0000,0.0000,1.7999,0.0000,0.0000,0.0000,139.6803,56.8040,29.2645,0.0000,20.9561,48.7414,6.7508,9.7470,120.6594,131.6099,138.7160,157.3637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.2043,84.4385,47.7663,0.0000,0.0000,18.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1665,0.0000,0.0000,0.0000,30.6928,18.3292,9.9395,3.5425,8.0674,4.3429,69.9464,2.4865,4.8458
2020/1/14,24.4779,63.0749,1.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8851,0.0000,4.4785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4494,0.0000,0.0000,0.0000,12.8519,0.0000,7.6699,76.7668,0.0000,71.7725,16.8284,14.3512,0.0000,0.0000,0.0000,9.9097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4643,0.0000,3.1821,7.8168,0.0000,0.0000,2.9506,3.8754,13.4372,5.0195,0.0000,24.1270,0.0000,0.0000,0.0000,0.0000,0.0000,3.4850,0.0000,0.0000,0.0000,0.0000,0.0000,1.8121,35.3178,0.0000,0.0000,0.0000,0.1769,6.7216,2.2550,1.6524,0.0000,0.0000,1.7999,0.0000,0.0000,0.0000,139.6803,56.8040,29.2645,0.0000,20.9561,48.7414,6.7508,9.7470,120.6594,131.6099,138.7160,157.3637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.2043,84.4385,47.7663,0.0000,0.0000,18.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1665,0.0000,0.0000,0.0000,30.6928,18.3292,9.9395,3.5425,8.0674,4.3429,69.9464,2.4865,4.8458
2020/1/15,24.4779,63.0749,1.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8851,0.0000,4.4785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4494,0.0000,0.0000,0.0000,12.8519,0.0000,7.6699,76.7668,0.0000,71.7725,16.8284,14.3512,0.0000,0.0000,0.0000,9.9097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4643,0.0000,3.1821,7.8168,0.0000,0.0000,2.9506,3.8754,13.4372,5.0195,0.0000,24.1270,0.0000,0.0000,0.0000,0.0000,0.0000,3.4850,0.0000,0.0000,0.0000,0.0000,0.0000,1.8121,35.3178,0.0000,0.0000,0.0000,0.1769,6.7216,2.2550,1.6524,0.0000,0.0000,1.7999,0.0000,0.0000,0.0000,139.6803,56.8040,29.2645,0.0000,20.9561,48.7414,6.7508,9.7470,120.6594,131.6099,138.7160,157.3637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.2043,84.4385,47.7663,0.0000,0.0000,18.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1665,0.0000,0.0000,0.0000,30.6928,18.3292,9.9395,3.5425,8.0674,4.3429,69.9464,2.4865,4.8458
2020/1/16,24.4779,63.0749,1.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8851,0.0000,4.4785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4494,0.0000,0.0000,0.0000,12.8519,0.0000,7.6699,76.7668,0.0000,71.7725,16.8284,14.3512,0.0000,0.0000,0.0000,9.9097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4643,0.0000,3.1821,7.8168,0.0000,0.0000,2.9506,3.8754,13.4372,5.0195,0.0000,24.1270,0.0000,0.0000,0.0000,0.0000,0.0000,3.4850,0.0000,0.0000,0.0000,0.0000,0.0000,1.8121,35.3178,0.0000,0.0000,0.0000,0.1769,6.7216,2.2550,1.6524,0.0000,0.0000,1.7999,0.0000,0.0000,0.0000,139.6803,56.8040,29.2645,0.0000,20.9561,48.7414,6.7508,9.7470,120.6594,131.6099,138.7160,157.3637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.2043,84.4385,47.7663,0.0000,0.0000,18.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1665,0.0000,0.0000,0.0000,30.6928,18.3292,9.9395,3.5425,8.0674,4.3429,69.9464,2.4865,4.8458
2020/1/17,24.4779,63.0749,1.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8851,0.0000,4.4785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4494,0.0000,0.0000,0.0000,12.8519,0.0000,7.6699,76.7668,0.0000,71.7725,16.8284,14.3512,0.0000,0.0000,0.0000,9.9097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4643,0.0000,3.1821,7.8168,0.0000,0.0000,2.9506,3.8754,13.4372,5.0195,0.0000,24.1270,0.0000,0.0000,0.0000,0.0000,0.0000,3.4850,0.0000,0.0000,0.0000,0.0000,0.0000,1.8121,35.3178,0.0000,0.0000,0.0000,0.1769,6.7216,2.2550,1.6524,0.0000,0.0000,1.7999,0.0000,0.0000,0.0000,139.6803,56.8040,29.2645,0.0000,20.9561,48.7414,6.7508,9.7470,120.6594,131.6099,138.7160,157.3637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.2043,84.4385,47.7663,0.0000,0.0000,18.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1665,0.0000,0.0000,0.0000,30.6928,18.3292,9.9395,3.5425,8.0674,4.3429,69.9464,2.4865,4.8458
