Date,512660.SH,512710.SH,512670.SH,159638.SZ,159667.SZ,516960.SH,562500.SH,516800.SH,159997.SZ,515260.SH,515790.SH,515030.SH,515700.SH,516160.SH,512400.SH,159755.SZ,159796.SZ,561160.SH,516110.SH,515250.SH,516520.SH,516920.SH,159995.SZ,512760.SH,588200.SH,561100.SH,159732.SZ,515880.SH,159695.SZ,512480.SH,515050.SH,159786.SZ,515000.SH,512980.SH,159939.SZ,159819.SZ,159998.SZ,560800.SH,515070.SH,515400.SH,515230.SH,159852.SZ,517050.SH,516510.SH,159807.SZ,159869.SZ,515580.SH,516770.SH,512220.SH,512330.SH,588100.SH,562920.SH,515980.SH,512170.SH,512010.SH,512290.SH,159992.SZ,159938.SZ,159859.SZ,516820.SH,159657.SZ,159883.SZ,515950.SH,159929.SZ,560080.SH,159837.SZ,562860.SH,159736.SZ,515170.SH,512690.SH,159928.SZ,159865.SZ,159825.SZ,159766.SZ,512600.SH,515650.SH,510630.SH,510150.SH,516600.SH,159996.SZ,512200.SH,516970.SH,516950.SH,159745.SZ,512880.SH,512000.SH,512800.SH,515290.SH,512070.SH,510230.SH,159940.SZ,159993.SZ,510810.SH,512950.SH,512960.SH,515900.SH,560700.SH,560070.SH,561960.SH,517180.SH,159623.SZ,159743.SZ,512970.SH,515150.SH,512650.SH,562990.SH,159790.SZ,512580.SH,517160.SH,517330.SH,159611.SZ,561170.SH,560180.SH,515220.SH,159870.SZ,515210.SH,159671.SZ,159652.SZ,560860.SH,516150.SH,510410.SH,159666.SZ,516260.SH,516530.SH,510880.SH,159905.SZ,515180.SH,515080.SH,512750.SH,159973.SZ,518880.SH,159985.SZ,159981.SZ
2020/1/2,0.771,1.063,1.074,0,0,0,0,0,0,0,0,0,0,0,0.736,0,0,0,0,0,0,0,0,1.615,0,0,0,1.088,0,1.492,1.024,0,1.284,0.883,1.194,0,0,0,1.021,0,0,0,0,0,0,0,1.122,0,1.436,0.997,0,0,0,1.262,1.895,1.2,0,1.387,0,0,0,0,0,1.567,0,0,0,0,0,1.183,3.025,0,0,0,2.97,1.021,2.998,5.564,0,0,0.928,0,0,0,1.049,0.999,1.152,0,2.358,5.828,1.097,0,0.942,1.02,1.018,0.959,0,0,0,0,0,0,1.052,0,1.033,0,0,0.802,0,0,0,0,0,0,0,0,0,0,0,0,0.646,0,0,0,2.934,2.088,1.031,1.074,1.077,1.16,3.37,0.988,0
2020/1/3,0.784,1.077,1.091,0,0,0,0,0,0,0,0,0,0,0,0.748,0,0,0,0,0,0,0,0,1.61,0,0,0,1.094,0,1.494,1.029,0,1.288,0.886,1.203,0,0,0,1.025,0,0,0,0,0,0,0,1.122,0,1.456,1.005,0,0,0,1.256,1.887,1.197,0,1.383,0,0,0,0,0,1.565,0,0,0,0,0,1.169,3.008,0,0,0,2.963,1.007,2.977,5.501,0,0,0.923,0,0,0,1.045,0.997,1.153,0,2.355,5.822,1.094,0,0.944,1.021,1.017,0.963,0,0,0,0,0,0,1.054,0,1.032,0,0,0.805,0,0,0,0,0,0,0,0,0,0,0,0,0.657,0,0,0,2.927,2.079,1.031,1.073,1.076,1.193,3.422,0.984,0
2020/1/6,0.793,1.098,1.106,0,0,0,0,0,0,0,0,0,0,0,0.775,0,0,0,0,0,0,0,0,1.625,0,0,0,1.103,0,1.506,1.037,0,1.301,0.905,1.218,0,0,0,1.039,0,0,0,0,0,0,0,1.125,0,1.469,1.026,0,0,0,1.247,1.867,1.191,0,1.375,0,0,0,0,0,1.557,0,0,0,0,0,1.16,3.013,0,0,0,2.953,0.999,2.968,5.501,0,0,0.916,0,0,0,1.045,0.996,1.149,0,2.347,5.807,1.09,0,0.938,1.021,1.017,0.968,0,0,0,0,0,0,1.046,0,1.028,0,0,0.821,0,0,0,0,0,0,0,0,0,0,0,0,0.676,0,0,0,2.921,2.06,1.028,1.07,1.072,1.192,3.497,0.978,0
2020/1/7,0.794,1.104,1.114,0,0,0,0,0,0,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,1.624,0,0,0,1.109,0,1.495,1.035,0,1.309,0.933,1.231,0,0,0,1.047,0,0,0,0,0,0,0,1.137,0,1.48,1.041,0,0,0,1.271,1.889,1.209,0,1.395,0,0,0,0,0,1.574,0,0,0,0,0,1.175,3.08,0,0,0,3.021,1.014,3,5.554,0,0,0.921,0,0,0,1.053,1.002,1.153,0,2.362,5.827,1.095,0,0.946,1.026,1.023,0.972,0,0,0,0,0,0,1.054,0,1.036,0,0,0.832,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,2.941,2.09,1.036,1.077,1.075,1.163,3.466,0.978,0
2020/1/8,0.805,1.104,1.114,0,0,0,0,0,0,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,1.589,0,0,0,1.088,0,1.461,1.013,0,1.294,0.906,1.21,0,0,0,1.031,0,0,0,0,0,0,0,1.126,0,1.462,1.016,0,0,0,1.263,1.871,1.195,0,1.377,0,0,0,0,0,1.562,0,0,0,0,0,1.17,3.059,0,0,0,3.022,1.014,2.992,5.541,0,0,0.902,0,0,0,1.021,0.971,1.132,0,2.306,5.725,1.075,0,0.936,1.017,1.011,0.965,0,0,0,0,0,0,1.046,0,1.02,0,0,0.829,0,0,0,0,0,0,0,0,0,0,0,0,0.664,0,0,0,2.921,2.076,1.026,1.066,1.064,1.164,3.531,0.975,0
2020/1/9,0.798,1.1,1.108,0,0,0,0,0,0,0,0,0,0,0,0.756,0,0,0,0,0,0,0,0,1.636,0,0,0,1.124,0,1.501,1.048,0,1.33,0.92,1.248,0,0,0,1.055,0,0,0,0,0,0,0,1.148,0,1.499,1.044,0,0,0,1.312,1.919,1.224,0,1.414,0,0,0,0,0,1.605,0,0,0,0,0,1.191,3.107,0,0,0,3.025,1.03,3.033,5.644,0,0,0.921,0,0,0,1.036,0.986,1.138,0,2.328,5.749,1.085,0,0.945,1.025,1.022,0.968,0,0,0,0,0,0,1.068,0,1.035,0,0,0.835,0,0,0,0,0,0,0,0,0,0,0,0,0.657,0,0,0,2.944,2.109,1.035,1.079,1.072,1.186,3.408,0.97,0
2020/1/10,0.791,1.086,1.1,0,0,0,0,0,0,0,0,0,0,0,0.752,0,0,0,0,0,0,0,0,1.683,0,0,0,1.127,0,1.56,1.06,0,1.334,0.916,1.243,0,0,0,1.063,0,0,0,0,0,0,0,1.159,0,1.499,1.043,0,0,0,1.312,1.93,1.239,0,1.422,0,0,0,0,0,1.606,0,0,0,0,0,1.224,3.097,0,0,0,3.03,1.038,3.052,5.656,0,0,0.914,0,0,0,1.038,0.989,1.138,0,2.328,5.746,1.086,0,0.944,1.02,1.015,0.965,0,0,0,0,0,0,1.069,0,1.033,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0.651,0,0,0,2.935,2.106,1.034,1.075,1.069,1.211,3.418,0.956,0
2020/1/13,0.8,1.101,1.12,0,0,0,0,0,0,0,0,0,0,0,0.758,0,0,0,0,0,0,0,0,1.761,0,0,0,1.153,0,1.65,1.094,0,1.373,0.929,1.272,0,0,0,1.095,0,0,0,0,0,0,0,1.174,0,1.535,1.068,0,0,0,1.325,1.942,1.25,0,1.435,0,0,0,0,0,1.621,0,0,0,0,0,1.246,3.143,0,0,0,3.077,1.049,3.071,5.708,0,0,0.92,0,0,0,1.05,1,1.143,0,2.364,5.796,1.09,0,0.948,1.026,1.021,0.971,0,0,0,0,0,0,1.086,0,1.037,0,0,0.845,0,0,0,0,0,0,0,0,0,0,0,0,0.653,0,0,0,2.946,2.131,1.04,1.083,1.074,1.211,3.418,0.948,0
2020/1/14,0.793,1.089,1.106,0,0,0,0,0,0,0,0,0,0,0,0.776,0,0,0,0,0,0,0,0,1.747,0,0,0,1.137,0,1.62,1.079,0,1.363,0.926,1.263,0,0,0,1.082,0,0,0,0,0,0,0,1.166,0,1.53,1.058,0,0,0,1.313,1.924,1.239,0,1.428,0,0,0,0,0,1.607,0,0,0,0,0,1.221,3.118,0,0,0,3.062,1.04,3.042,5.662,0,0,0.917,0,0,0,1.036,0.989,1.139,0,2.351,5.79,1.087,0,0.946,1.023,1.018,0.97,0,0,0,0,0,0,1.085,0,1.035,0,0,0.851,0,0,0,0,0,0,0,0,0,0,0,0,0.658,0,0,0,2.961,2.12,1.042,1.083,1.073,1.211,3.374,0.95,0
2020/1/15,0.786,1.082,1.099,0,0,0,0,0,0,0,0,0,0,0,0.759,0,0,0,0,0,0,0,0,1.806,0,0,0,1.139,0,1.669,1.089,0,1.382,0.922,1.278,0,0,0,1.095,0,0,0,0,0,0,0,1.168,0,1.542,1.074,0,0,0,1.32,1.932,1.246,0,1.429,0,0,0,0,0,1.611,0,0,0,0,0,1.225,3.123,0,0,0,3.053,1.038,3.062,5.683,0,0,0.908,0,0,0,1.031,0.984,1.126,0,2.329,5.731,1.078,0,0.939,1.015,1.012,0.964,0,0,0,0,0,0,1.079,1.02,1.032,0,0,0.844,0,0,0,0,0,0,0,0,0,0,0,0,0.648,0,0,0,2.951,2.104,1.038,1.079,1.062,1.193,3.403,0.962,0
