Date,512660.SH,512710.SH,512670.SH,159638.SZ,159667.SZ,516960.SH,562500.SH,516800.SH,159997.SZ,515260.SH,515790.SH,515030.SH,515700.SH,516160.SH,512400.SH,159755.SZ,159796.SZ,561160.SH,516110.SH,515250.SH,516520.SH,516920.SH,159995.SZ,512760.SH,588200.SH,561100.SH,159732.SZ,515880.SH,159695.SZ,512480.SH,515050.SH,159786.SZ,515000.SH,512980.SH,159939.SZ,159819.SZ,159998.SZ,560800.SH,515070.SH,515400.SH,515230.SH,159852.SZ,517050.SH,516510.SH,159807.SZ,159869.SZ,515580.SH,516770.SH,512220.SH,512330.SH,588100.SH,562920.SH,515980.SH,512170.SH,512010.SH,512290.SH,159992.SZ,159938.SZ,159859.SZ,516820.SH,159657.SZ,159883.SZ,515950.SH,159929.SZ,560080.SH,159837.SZ,562860.SH,159736.SZ,515170.SH,512690.SH,159928.SZ,159865.SZ,159825.SZ,159766.SZ,512600.SH,515650.SH,510630.SH,510150.SH,516600.SH,159996.SZ,512200.SH,516970.SH,516950.SH,159745.SZ,512880.SH,512000.SH,512800.SH,515290.SH,512070.SH,510230.SH,159940.SZ,159993.SZ,510810.SH,512950.SH,512960.SH,515900.SH,560700.SH,560070.SH,561960.SH,517180.SH,159623.SZ,159743.SZ,512970.SH,515150.SH,512650.SH,562990.SH,159790.SZ,512580.SH,517160.SH,517330.SH,159611.SZ,561170.SH,560180.SH,515220.SH,159870.SZ,515210.SH,159671.SZ,159652.SZ,560860.SH,516150.SH,510410.SH,159666.SZ,516260.SH,516530.SH,510880.SH,159905.SZ,515180.SH,515080.SH,512750.SH,159973.SZ,518880.SH,159985.SZ,159981.SZ
2020/1/2,0.7710,1.0640,1.0770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6290,0.0000,0.0000,0.0000,1.0920,0.0000,1.5060,1.0300,0.0000,1.2890,0.8840,1.1990,0.0000,0.0000,0.0000,1.0260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1260,0.0000,1.4580,1.0010,0.0000,0.0000,0.0000,1.2650,1.9010,1.2000,0.0000,1.3880,0.0000,0.0000,0.0000,0.0000,0.0000,1.5690,0.0000,0.0000,0.0000,0.0000,0.0000,1.1900,3.0460,0.0000,0.0000,0.0000,2.9970,1.0250,3.0100,5.6660,0.0000,0.0000,0.9470,0.0000,0.0000,0.0000,1.0670,1.0170,1.1600,0.0000,2.3830,5.8740,1.1370,0.0000,0.9470,1.0250,1.0210,0.9610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0630,0.0000,1.0390,0.0000,0.0000,0.8030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500,0.0000,0.0000,0.0000,2.9430,2.0960,1.0350,1.0780,1.0850,1.1700,3.3770,0.9920,0.0000
2020/1/3,0.7850,1.0810,1.0950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6310,0.0000,0.0000,0.0000,1.1040,0.0000,1.5070,1.0420,0.0000,1.2980,0.8960,1.2070,0.0000,0.0000,0.0000,1.0280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1310,0.0000,1.4580,1.0080,0.0000,0.0000,0.0000,1.2640,1.8980,1.2030,0.0000,1.3890,0.0000,0.0000,0.0000,0.0000,0.0000,1.5730,0.0000,0.0000,0.0000,0.0000,0.0000,1.1810,3.0370,0.0000,0.0000,0.0000,2.9960,1.0230,3.0060,5.5640,0.0000,0.0000,0.9280,0.0000,0.0000,0.0000,1.0570,1.0080,1.1560,0.0000,2.3720,5.8520,1.1090,0.0000,0.9450,1.0250,1.0190,0.9650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0620,0.0000,1.0370,0.0000,0.0000,0.8080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6590,0.0000,0.0000,0.0000,2.9390,2.0990,1.0330,1.0800,1.0900,1.1990,3.4280,0.9920,0.0000
2020/1/6,0.8030,1.1050,1.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6410,0.0000,0.0000,0.0000,1.1150,0.0000,1.5180,1.0490,0.0000,1.3180,0.9150,1.2310,0.0000,0.0000,0.0000,1.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1400,0.0000,1.4900,1.0330,0.0000,0.0000,0.0000,1.2530,1.8860,1.2040,0.0000,1.3850,0.0000,0.0000,0.0000,0.0000,0.0000,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,1.1700,3.0280,0.0000,0.0000,0.0000,2.9660,1.0090,2.9820,5.5150,0.0000,0.0000,0.9190,0.0000,0.0000,0.0000,1.0680,1.0130,1.1590,0.0000,2.3790,5.8600,1.1020,0.0000,0.9470,1.0320,1.0250,0.9770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0580,0.0000,1.0380,0.0000,0.0000,0.8290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6770,0.0000,0.0000,0.0000,2.9450,2.0870,1.0370,1.0800,1.0810,1.1930,3.5100,0.9800,0.0000
2020/1/7,0.7950,1.1050,1.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6350,0.0000,0.0000,0.0000,1.1100,0.0000,1.5130,1.0430,0.0000,1.3100,0.9350,1.2310,0.0000,0.0000,0.0000,1.0470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1370,0.0000,1.4800,1.0420,0.0000,0.0000,0.0000,1.2720,1.8900,1.2100,0.0000,1.3950,0.0000,0.0000,0.0000,0.0000,0.0000,1.5740,0.0000,0.0000,0.0000,0.0000,0.0000,1.1750,3.0860,0.0000,0.0000,0.0000,3.0590,1.0150,3.0030,5.5590,0.0000,0.0000,0.9210,0.0000,0.0000,0.0000,1.0590,1.0080,1.1590,0.0000,2.3690,5.8520,1.1010,0.0000,0.9460,1.0270,1.0230,0.9720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0580,0.0000,1.0360,0.0000,0.0000,0.8330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6700,0.0000,0.0000,0.0000,2.9420,2.0900,1.0360,1.0780,1.0790,1.1700,3.4750,0.9800,0.0000
2020/1/8,0.8120,1.1190,1.1290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6130,0.0000,0.0000,0.0000,1.1060,0.0000,1.4900,1.0310,0.0000,1.3130,0.9290,1.2310,0.0000,0.0000,0.0000,1.0470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1430,0.0000,1.4830,1.0410,0.0000,0.0000,0.0000,1.2740,1.8830,1.2080,0.0000,1.3920,0.0000,0.0000,0.0000,0.0000,0.0000,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,1.1770,3.0920,0.0000,0.0000,0.0000,3.0260,1.0220,3.0210,5.5710,0.0000,0.0000,0.9180,0.0000,0.0000,0.0000,1.0430,0.9950,1.1510,0.0000,2.3430,5.8240,1.0950,0.0000,0.9440,1.0250,1.0210,0.9740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0540,0.0000,1.0330,0.0000,0.0000,0.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6780,0.0000,0.0000,0.0000,2.9390,2.0980,1.0350,1.0770,1.0740,1.1800,3.5600,0.9790,0.0000
2020/1/9,0.7980,1.1010,1.1080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6380,0.0000,0.0000,0.0000,1.1240,0.0000,1.5020,1.0490,0.0000,1.3310,0.9300,1.2480,0.0000,0.0000,0.0000,1.0550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1500,0.0000,1.5000,1.0460,0.0000,0.0000,0.0000,1.3130,1.9210,1.2250,0.0000,1.4150,0.0000,0.0000,0.0000,0.0000,0.0000,1.6050,0.0000,0.0000,0.0000,0.0000,0.0000,1.1990,3.1070,0.0000,0.0000,0.0000,3.0300,1.0320,3.0400,5.6500,0.0000,0.0000,0.9230,0.0000,0.0000,0.0000,1.0440,0.9950,1.1440,0.0000,2.3420,5.7720,1.0890,0.0000,0.9480,1.0260,1.0220,0.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0680,0.0000,1.0360,0.0000,0.0000,0.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6600,0.0000,0.0000,0.0000,2.9460,2.1100,1.0370,1.0800,1.0730,1.2080,3.4510,0.9740,0.0000
2020/1/10,0.7990,1.0980,1.1120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6950,0.0000,0.0000,0.0000,1.1360,0.0000,1.5670,1.0640,0.0000,1.3450,0.9290,1.2520,0.0000,0.0000,0.0000,1.0680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1600,0.0000,1.5050,1.0510,0.0000,0.0000,0.0000,1.3200,1.9390,1.2400,0.0000,1.4300,0.0000,0.0000,0.0000,0.0000,0.0000,1.6150,0.0000,0.0000,0.0000,0.0000,0.0000,1.2280,3.1070,0.0000,0.0000,0.0000,3.0370,1.0400,3.0520,5.6710,0.0000,0.0000,0.9270,0.0000,0.0000,0.0000,1.0550,1.0050,1.1410,0.0000,2.3560,5.7880,1.0900,0.0000,0.9480,1.0260,1.0230,0.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0740,0.0000,1.0380,0.0000,0.0000,0.8380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6590,0.0000,0.0000,0.0000,2.9510,2.1160,1.0400,1.0820,1.0760,1.2340,3.4250,0.9650,0.0000
2020/1/13,0.8000,1.1020,1.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7710,0.0000,0.0000,0.0000,1.1550,0.0000,1.6600,1.0950,0.0000,1.3770,0.9300,1.2730,0.0000,0.0000,0.0000,1.0960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1740,0.0000,1.5350,1.0700,0.0000,0.0000,0.0000,1.3250,1.9430,1.2500,0.0000,1.4380,0.0000,0.0000,0.0000,0.0000,0.0000,1.6220,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500,3.1440,0.0000,0.0000,0.0000,3.0790,1.0490,3.0780,5.7080,0.0000,0.0000,0.9210,0.0000,0.0000,0.0000,1.0510,1.0010,1.1430,0.0000,2.3640,5.7960,1.0900,0.0000,0.9500,1.0260,1.0230,0.9740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0880,0.0000,1.0370,0.0000,0.0000,0.8460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6530,0.0000,0.0000,0.0000,2.9480,2.1310,1.0400,1.0830,1.0750,1.2110,3.4350,0.9570,0.0000
2020/1/14,0.8030,1.1010,1.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7850,0.0000,0.0000,0.0000,1.1570,0.0000,1.6600,1.0990,0.0000,1.3790,0.9400,1.2830,0.0000,0.0000,0.0000,1.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1800,0.0000,1.5430,1.0780,0.0000,0.0000,0.0000,1.3300,1.9450,1.2540,0.0000,1.4380,0.0000,0.0000,0.0000,0.0000,0.0000,1.6240,0.0000,0.0000,0.0000,0.0000,0.0000,1.2370,3.1500,0.0000,0.0000,0.0000,3.0760,1.0520,3.0860,5.8000,0.0000,0.0000,0.9250,0.0000,0.0000,0.0000,1.0540,1.0040,1.1510,0.0000,2.3810,5.8380,1.0990,0.0000,0.9550,1.0300,1.0250,0.9750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1100,0.0000,1.0450,0.0000,0.0000,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6640,0.0000,0.0000,0.0000,2.9660,2.1410,1.0500,1.0890,1.0810,1.2620,3.3760,0.9530,0.0000
2020/1/15,0.7920,1.0870,1.1060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8100,0.0000,0.0000,0.0000,1.1450,0.0000,1.6840,1.0930,0.0000,1.3850,0.9300,1.2820,0.0000,0.0000,0.0000,1.0980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1680,0.0000,1.5440,1.0770,0.0000,0.0000,0.0000,1.3330,1.9480,1.2540,0.0000,1.4390,0.0000,0.0000,0.0000,0.0000,0.0000,1.6230,0.0000,0.0000,0.0000,0.0000,0.0000,1.2400,3.1520,0.0000,0.0000,0.0000,3.0850,1.0480,3.0870,5.7170,0.0000,0.0000,0.9170,0.0000,0.0000,0.0000,1.0400,0.9910,1.1390,0.0000,2.3570,5.7850,1.0870,0.0000,0.9460,1.0230,1.0200,0.9680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0840,1.0270,1.0350,0.0000,0.0000,0.8520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6580,0.0000,0.0000,0.0000,2.9620,2.1230,1.0420,1.0830,1.0760,1.3310,3.4140,0.9640,0.0000
