Date,512660.SH,512710.SH,512670.SH,159638.SZ,159667.SZ,516960.SH,562500.SH,516800.SH,159997.SZ,515260.SH,515790.SH,515030.SH,515700.SH,516160.SH,512400.SH,159755.SZ,159796.SZ,561160.SH,516110.SH,515250.SH,516520.SH,516920.SH,159995.SZ,512760.SH,588200.SH,561100.SH,159732.SZ,515880.SH,159695.SZ,512480.SH,515050.SH,159786.SZ,515000.SH,512980.SH,159939.SZ,159819.SZ,159998.SZ,560800.SH,515070.SH,515400.SH,515230.SH,159852.SZ,517050.SH,516510.SH,159807.SZ,159869.SZ,515580.SH,516770.SH,512220.SH,512330.SH,588100.SH,562920.SH,515980.SH,512170.SH,512010.SH,512290.SH,159992.SZ,159938.SZ,159859.SZ,516820.SH,159657.SZ,159883.SZ,515950.SH,159929.SZ,560080.SH,159837.SZ,562860.SH,159736.SZ,515170.SH,512690.SH,159928.SZ,159865.SZ,159825.SZ,159766.SZ,512600.SH,515650.SH,510630.SH,510150.SH,516600.SH,159996.SZ,512200.SH,516970.SH,516950.SH,159745.SZ,512880.SH,512000.SH,512800.SH,515290.SH,512070.SH,510230.SH,159940.SZ,159993.SZ,510810.SH,512950.SH,512960.SH,515900.SH,560700.SH,560070.SH,561960.SH,517180.SH,159623.SZ,159743.SZ,512970.SH,515150.SH,512650.SH,562990.SH,159790.SZ,512580.SH,517160.SH,517330.SH,159611.SZ,561170.SH,560180.SH,515220.SH,159870.SZ,515210.SH,159671.SZ,159652.SZ,560860.SH,516150.SH,510410.SH,159666.SZ,516260.SH,516530.SH,510880.SH,159905.SZ,515180.SH,515080.SH,512750.SH,159973.SZ,518880.SH,159985.SZ,159981.SZ
2020/1/2,0.758,1.043,1.058,0,0,0,0,0,0,0,0,0,0,0,0.727,0,0,0,0,0,0,0,0,1.554,0,0,0,1.069,0,1.435,0.998,0,1.259,0.836,1.15,0,0,0,0.996,0,0,0,0,0,0,0,1.098,0,1.41,0.964,0,0,0,1.249,1.878,1.185,0,1.372,0,0,0,0,0,1.55,0,0,0,0,0,1.164,2.99,0,0,0,2.958,1.008,2.973,5.49,0,0,0.927,0,0,0,1.045,0.994,1.142,0,2.35,5.808,1.095,0,0.939,1.004,1.006,0.919,0,0,0,0,0,0,1.033,0,1.019,0,0,0.788,0,0,0,0,0,0,0,0,0,0,0,0,0.642,0,0,0,2.91,2.063,1.021,1.068,1.068,1.153,3.368,0.986,0
2020/1/3,0.77,1.06,1.072,0,0,0,0,0,0,0,0,0,0,0,0.732,0,0,0,0,0,0,0,0,1.591,0,0,0,1.086,0,1.471,1.02,0,1.279,0.877,1.187,0,0,0,1.014,0,0,0,0,0,0,0,1.116,0,1.439,0.996,0,0,0,1.248,1.88,1.193,0,1.374,0,0,0,0,0,1.558,0,0,0,0,0,1.162,2.99,0,0,0,2.912,1.005,2.951,5.499,0,0,0.915,0,0,0,1.04,0.991,1.15,0,2.345,5.81,1.085,0,0.941,1.019,1.014,0.959,0,0,0,0,0,0,1.045,0,1.028,0,0,0.801,0,0,0,0,0,0,0,0,0,0,0,0,0.646,0,0,0,2.918,2.073,1.026,1.068,1.074,1.193,3.39,0.984,0
2020/1/6,0.788,1.09,1.098,0,0,0,0,0,0,0,0,0,0,0,0.755,0,0,0,0,0,0,0,0,1.586,0,0,0,1.082,0,1.469,1.016,0,1.275,0.869,1.186,0,0,0,1.016,0,0,0,0,0,0,0,1.115,0,1.446,0.988,0,0,0,1.235,1.856,1.185,0,1.37,0,0,0,0,0,1.551,0,0,0,0,0,1.155,2.986,0,0,0,2.93,0.991,2.952,5.254,0,0,0.908,0,0,0,1.032,0.981,1.142,0,2.332,5.768,1.084,0,0.934,1.017,1.011,0.96,0,0,0,0,0,0,1.043,0,1.022,0,0,0.801,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,2.916,2.046,1.023,1.065,1.066,1.1,3.493,0.976,0
2020/1/7,0.787,1.091,1.093,0,0,0,0,0,0,0,0,0,0,0,0.758,0,0,0,0,0,0,0,0,1.606,0,0,0,1.096,0,1.484,1.025,0,1.294,0.9,1.213,0,0,0,1.034,0,0,0,0,0,0,0,1.123,0,1.451,1.024,0,0,0,1.242,1.867,1.187,0,1.376,0,0,0,0,0,1.554,0,0,0,0,0,1.158,3.014,0,0,0,2.971,0.998,2.968,5.498,0,0,0.913,0,0,0,1.037,0.988,1.147,0,2.337,5.792,1.084,0,0.938,1.021,1.015,0.967,0,0,0,0,0,0,1.047,0,1.028,0,0,0.821,0,0,0,0,0,0,0,0,0,0,0,0,0.662,0,0,0,2.919,2.062,1.028,1.07,1.071,1.138,3.447,0.978,0
2020/1/8,0.795,1.095,1.103,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,1.579,0,0,0,1.083,0,1.455,1.011,0,1.29,0.904,1.205,0,0,0,1.029,0,0,0,0,0,0,0,1.123,0,1.455,1.016,0,0,0,1.26,1.869,1.192,0,1.376,0,0,0,0,0,1.558,0,0,0,0,0,1.165,3.053,0,0,0,2.981,1.006,2.986,5.525,0,0,0.901,0,0,0,1.017,0.968,1.131,0,2.299,5.696,1.07,0,0.933,1.013,1.009,0.963,0,0,0,0,0,0,1.038,0,1.02,0,0,0.822,0,0,0,0,0,0,0,0,0,0,0,0,0.661,0,0,0,2.914,2.069,1.022,1.062,1.06,1.163,3.511,0.972,0
2020/1/9,0.786,1.09,1.094,0,0,0,0,0,0,0,0,0,0,0,0.751,0,0,0,0,0,0,0,0,1.597,0,0,0,1.095,0,1.47,1.024,0,1.305,0.908,1.223,0,0,0,1.039,0,0,0,0,0,0,0,1.134,0,1.471,1.027,0,0,0,1.271,1.881,1.2,0,1.379,0,0,0,0,0,1.57,0,0,0,0,0,1.17,3.067,0,0,0,3.011,1.016,3.013,5.555,0,0,0.912,0,0,0,1.03,0.98,1.132,0,2.316,5.724,1.079,0,0.94,1.02,1.011,0.964,0,0,0,0,0,0,1.045,0,1.03,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0.653,0,0,0,2.93,2.094,1.03,1.072,1.067,1.143,3.397,0.967,0
2020/1/10,0.788,1.083,1.097,0,0,0,0,0,0,0,0,0,0,0,0.745,0,0,0,0,0,0,0,0,1.63,0,0,0,1.117,0,1.493,1.046,0,1.325,0.908,1.229,0,0,0,1.053,0,0,0,0,0,0,0,1.148,0,1.491,1.031,0,0,0,1.309,1.92,1.228,0,1.414,0,0,0,0,0,1.587,0,0,0,0,0,1.19,3.075,0,0,0,2.997,1.03,3.025,5.63,0,0,0.91,0,0,0,1.03,0.982,1.134,0,2.32,5.728,1.08,0,0.94,1.017,1.012,0.961,0,0,0,0,0,0,1.062,0,1.028,0,0,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0.646,0,0,0,2.923,2.1,1.029,1.07,1.065,1.151,3.413,0.955,0
2020/1/13,0.786,1.081,1.096,0,0,0,0,0,0,0,0,0,0,0,0.744,0,0,0,0,0,0,0,0,1.669,0,0,0,1.12,0,1.547,1.054,0,1.335,0.9,1.236,0,0,0,1.061,0,0,0,0,0,0,0,1.151,0,1.5,1.035,0,0,0,1.296,1.915,1.231,0,1.412,0,0,0,0,0,1.593,0,0,0,0,0,1.224,3.094,0,0,0,3.01,1.034,3.048,5.655,0,0,0.908,0,0,0,1.019,0.971,1.131,0,2.308,5.709,1.074,0,0.938,1.015,1.012,0.962,0,0,0,0,0,0,1.066,0,1.023,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0.645,0,0,0,2.923,2.106,1.029,1.07,1.065,1.21,3.413,0.947,0
2020/1/14,0.793,1.087,1.105,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,1.741,0,0,0,1.135,0,1.616,1.076,0,1.36,0.925,1.26,0,0,0,1.08,0,0,0,0,0,0,0,1.164,0,1.528,1.056,0,0,0,1.31,1.92,1.236,0,1.423,0,0,0,0,0,1.607,0,0,0,0,0,1.215,3.11,0,0,0,3.039,1.038,3.04,5.66,0,0,0.917,0,0,0,1.035,0.988,1.138,0,2.351,5.777,1.086,0,0.945,1.023,1.018,0.97,0,0,0,0,0,0,1.082,0,1.034,0,0,0.847,0,0,0,0,0,0,0,0,0,0,0,0,0.652,0,0,0,2.951,2.117,1.041,1.082,1.071,1.211,3.363,0.948,0
2020/1/15,0.782,1.074,1.093,0,0,0,0,0,0,0,0,0,0,0,0.753,0,0,0,0,0,0,0,0,1.733,0,0,0,1.126,0,1.606,1.066,0,1.353,0.911,1.25,0,0,0,1.077,0,0,0,0,0,0,0,1.153,0,1.519,1.051,0,0,0,1.303,1.918,1.237,0,1.42,0,0,0,0,0,1.604,0,0,0,0,0,1.219,3.108,0,0,0,3.002,1.034,3.023,5.66,0,0,0.905,0,0,0,1.028,0.98,1.125,0,2.328,5.72,1.075,0,0.936,1.012,1.009,0.959,0,0,0,0,0,0,1.071,1.016,1.027,0,0,0.835,0,0,0,0,0,0,0,0,0,0,0,0,0.644,0,0,0,2.935,2.098,1.034,1.073,1.06,1.172,3.395,0.951,0
