Date,512660.SH,512710.SH,512670.SH,159638.SZ,159667.SZ,516960.SH,562500.SH,516800.SH,159997.SZ,515260.SH,515790.SH,515030.SH,515700.SH,516160.SH,512400.SH,159755.SZ,159796.SZ,561160.SH,516110.SH,515250.SH,516520.SH,516920.SH,159995.SZ,512760.SH,588200.SH,561100.SH,159732.SZ,515880.SH,159695.SZ,512480.SH,515050.SH,159786.SZ,515000.SH,512980.SH,159939.SZ,159819.SZ,159998.SZ,560800.SH,515070.SH,515400.SH,515230.SH,159852.SZ,517050.SH,516510.SH,159807.SZ,159869.SZ,515580.SH,516770.SH,512220.SH,512330.SH,588100.SH,562920.SH,515980.SH,512170.SH,512010.SH,512290.SH,159992.SZ,159938.SZ,159859.SZ,516820.SH,159657.SZ,159883.SZ,515950.SH,159929.SZ,560080.SH,159837.SZ,562860.SH,159736.SZ,515170.SH,512690.SH,159928.SZ,159865.SZ,159825.SZ,159766.SZ,512600.SH,515650.SH,510630.SH,510150.SH,516600.SH,159996.SZ,512200.SH,516970.SH,516950.SH,159745.SZ,512880.SH,512000.SH,512800.SH,515290.SH,512070.SH,510230.SH,159940.SZ,159993.SZ,510810.SH,512950.SH,512960.SH,515900.SH,560700.SH,560070.SH,561960.SH,517180.SH,159623.SZ,159743.SZ,512970.SH,515150.SH,512650.SH,562990.SH,159790.SZ,512580.SH,517160.SH,517330.SH,159611.SZ,561170.SH,560180.SH,515220.SH,159870.SZ,515210.SH,159671.SZ,159652.SZ,560860.SH,516150.SH,510410.SH,159666.SZ,516260.SH,516530.SH,510880.SH,159905.SZ,515180.SH,515080.SH,512750.SH,159973.SZ,518880.SH,159985.SZ,159981.SZ
2020/1/2,0.762,1.045,1.059,0,0,0,0,0,0,0,0,0,0,0,0.738,0,0,0,0,0,0,0,0,1.565,0,0,0,1.078,0,1.445,1.004,0,1.265,0.84,1.16,0,0,0,0.999,0,0,0,0,0,0,0,1.098,0,1.41,0.968,0,0,0,1.262,1.9,1.195,0,1.385,0,0,0,0,0,1.566,0,0,0,0,0,1.19,3.045,0,0,0,2.968,1.013,3.01,5.528,0,0,0.938,0,0,0,1.061,1.011,1.142,0,2.356,5.824,1.137,0,0.939,1.004,1.006,0.938,0,0,0,0,0,0,1.033,0,1.019,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0.642,0,0,0,2.91,2.065,1.021,1.07,1.068,1.153,3.371,0.989,0
2020/1/3,0.773,1.061,1.074,0,0,0,0,0,0,0,0,0,0,0,0.738,0,0,0,0,0,0,0,0,1.617,0,0,0,1.094,0,1.494,1.03,0,1.29,0.882,1.195,0,0,0,1.02,0,0,0,0,0,0,0,1.123,0,1.458,0.998,0,0,0,1.263,1.895,1.199,0,1.388,0,0,0,0,0,1.567,0,0,0,0,0,1.177,3.024,0,0,0,2.912,1.021,2.998,5.56,0,0,0.928,0,0,0,1.047,0.999,1.151,0,2.358,5.823,1.085,0,0.941,1.02,1.019,0.959,0,0,0,0,0,0,1.054,0,1.03,0,0,0.801,0,0,0,0,0,0,0,0,0,0,0,0,0.646,0,0,0,2.934,2.09,1.031,1.074,1.09,1.199,3.392,0.988,0
2020/1/6,0.798,1.094,1.099,0,0,0,0,0,0,0,0,0,0,0,0.755,0,0,0,0,0,0,0,0,1.586,0,0,0,1.085,0,1.472,1.02,0,1.281,0.878,1.193,0,0,0,1.021,0,0,0,0,0,0,0,1.122,0,1.446,0.988,0,0,0,1.248,1.878,1.191,0,1.384,0,0,0,0,0,1.56,0,0,0,0,0,1.167,2.99,0,0,0,2.952,1.001,2.964,5.499,0,0,0.916,0,0,0,1.037,0.989,1.148,0,2.338,5.817,1.095,0,0.943,1.018,1.018,0.96,0,0,0,0,0,0,1.051,0,1.022,0,0,0.806,0,0,0,0,0,0,0,0,0,0,0,0,0.664,0,0,0,2.923,2.076,1.028,1.072,1.077,1.1,3.496,0.979,0
2020/1/7,0.788,1.097,1.106,0,0,0,0,0,0,0,0,0,0,0,0.767,0,0,0,0,0,0,0,0,1.625,0,0,0,1.103,0,1.502,1.037,0,1.304,0.908,1.218,0,0,0,1.041,0,0,0,0,0,0,0,1.125,0,1.462,1.025,0,0,0,1.242,1.867,1.187,0,1.377,0,0,0,0,0,1.557,0,0,0,0,0,1.163,3.014,0,0,0,2.976,0.999,2.968,5.498,0,0,0.916,0,0,0,1.048,0.999,1.148,0,2.353,5.806,1.084,0,0.938,1.021,1.02,0.967,0,0,0,0,0,0,1.051,0,1.032,0,0,0.824,0,0,0,0,0,0,0,0,0,0,0,0,0.663,0,0,0,2.919,2.062,1.031,1.072,1.071,1.138,3.472,0.98,0
2020/1/8,0.803,1.112,1.116,0,0,0,0,0,0,0,0,0,0,0,0.775,0,0,0,0,0,0,0,0,1.61,0,0,0,1.103,0,1.49,1.03,0,1.3,0.925,1.224,0,0,0,1.04,0,0,0,0,0,0,0,1.136,0,1.457,1.041,0,0,0,1.27,1.877,1.205,0,1.389,0,0,0,0,0,1.566,0,0,0,0,0,1.165,3.07,0,0,0,2.981,1.013,3.004,5.554,0,0,0.918,0,0,0,1.043,0.993,1.15,0,2.341,5.76,1.095,0,0.943,1.025,1.019,0.971,0,0,0,0,0,0,1.054,0,1.031,0,0,0.827,0,0,0,0,0,0,0,0,0,0,0,0,0.675,0,0,0,2.939,2.086,1.035,1.077,1.074,1.163,3.547,0.975,0
2020/1/9,0.791,1.092,1.1,0,0,0,0,0,0,0,0,0,0,0,0.757,0,0,0,0,0,0,0,0,1.606,0,0,0,1.096,0,1.475,1.024,0,1.305,0.92,1.23,0,0,0,1.039,0,0,0,0,0,0,0,1.134,0,1.471,1.027,0,0,0,1.273,1.881,1.2,0,1.379,0,0,0,0,0,1.57,0,0,0,0,0,1.17,3.067,0,0,0,3.023,1.016,3.02,5.555,0,0,0.913,0,0,0,1.036,0.987,1.141,0,2.338,5.741,1.089,0,0.94,1.021,1.011,0.965,0,0,0,0,0,0,1.045,0,1.03,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0.655,0,0,0,2.93,2.099,1.035,1.072,1.069,1.208,3.44,0.971,0
2020/1/10,0.795,1.097,1.108,0,0,0,0,0,0,0,0,0,0,0,0.754,0,0,0,0,0,0,0,0,1.636,0,0,0,1.13,0,1.495,1.051,0,1.335,0.925,1.249,0,0,0,1.055,0,0,0,0,0,0,0,1.151,0,1.501,1.049,0,0,0,1.313,1.92,1.228,0,1.418,0,0,0,0,0,1.6,0,0,0,0,0,1.191,3.099,0,0,0,3.025,1.03,3.033,5.643,0,0,0.923,0,0,0,1.052,1.002,1.139,0,2.344,5.749,1.087,0,0.948,1.026,1.023,0.963,0,0,0,0,0,0,1.062,0,1.03,0,0,0.835,0,0,0,0,0,0,0,0,0,0,0,0,0.658,0,0,0,2.946,2.109,1.037,1.08,1.072,1.186,3.413,0.965,0
2020/1/13,0.79,1.083,1.1,0,0,0,0,0,0,0,0,0,0,0,0.751,0,0,0,0,0,0,0,0,1.682,0,0,0,1.127,0,1.557,1.057,0,1.335,0.911,1.239,0,0,0,1.065,0,0,0,0,0,0,0,1.16,0,1.501,1.038,0,0,0,1.311,1.929,1.24,0,1.422,0,0,0,0,0,1.607,0,0,0,0,0,1.225,3.096,0,0,0,3.01,1.038,3.048,5.67,0,0,0.91,0,0,0,1.031,0.983,1.136,0,2.335,5.732,1.08,0,0.941,1.018,1.014,0.965,0,0,0,0,0,0,1.066,0,1.029,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0.651,0,0,0,2.936,2.106,1.034,1.075,1.068,1.21,3.423,0.957,0
2020/1/14,0.8,1.1,1.12,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,1.772,0,0,0,1.154,0,1.646,1.095,0,1.375,0.93,1.273,0,0,0,1.1,0,0,0,0,0,0,0,1.176,0,1.541,1.07,0,0,0,1.325,1.942,1.249,0,1.43,0,0,0,0,0,1.622,0,0,0,0,0,1.236,3.149,0,0,0,3.076,1.046,3.074,5.8,0,0,0.924,0,0,0,1.051,1.002,1.145,0,2.366,5.8,1.092,0,0.95,1.025,1.024,0.971,0,0,0,0,0,0,1.088,0,1.037,0,0,0.847,0,0,0,0,0,0,0,0,0,0,0,0,0.658,0,0,0,2.954,2.141,1.042,1.083,1.075,1.211,3.368,0.953,0
2020/1/15,0.792,1.085,1.106,0,0,0,0,0,0,0,0,0,0,0,0.769,0,0,0,0,0,0,0,0,1.738,0,0,0,1.136,0,1.61,1.076,0,1.359,0.924,1.258,0,0,0,1.083,0,0,0,0,0,0,0,1.161,0,1.528,1.056,0,0,0,1.309,1.923,1.244,0,1.421,0,0,0,0,0,1.607,0,0,0,0,0,1.223,3.108,0,0,0,3.002,1.038,3.042,5.699,0,0,0.916,0,0,0,1.033,0.987,1.139,0,2.35,5.771,1.085,0,0.946,1.023,1.02,0.968,0,0,0,0,0,0,1.084,1.022,1.034,0,0,0.851,0,0,0,0,0,0,0,0,0,0,0,0,0.658,0,0,0,2.959,2.121,1.041,1.082,1.073,1.211,3.398,0.951,0
2020/1/16,0.787,1.082,1.1,0,0,0,0,0,0,0,0,0,0,0,0.755,0,0,0,0,0,0,0,0,1.798,0,0,0,1.139,0,1.66,1.088,0,1.382,0.921,1.278,0,0,0,1.094,0,0,0,0,0,0,0,1.168,0,1.541,1.07,0,0,0,1.32,1.931,1.252,0,1.427,0,0,0,0,0,1.608,0,0,0,0,0,1.225,3.129,0,0,0,3.053,1.04,3.058,5.719,0,0,0.907,0,0,0,1.034,0.985,1.128,0,2.335,5.732,1.078,0,0.942,1.018,1.013,0.942,0,0,0,0,0,0,1.076,1.022,1.022,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0.648,0,0,0,2.951,2.105,1.039,1.079,1.062,1.216,3.413,0.957,0
2020/1/17,0.794,1.09,1.111,0,0,0,0,0,0,0,0,0,0,0,0.759,0,0,0,0,0,0,0,0,1.806,0,0,0,1.146,0,1.668,1.089,0,1.388,0.913,1.28,0,0,0,1.105,0,0,0,0,0,0,0,1.168,0,1.553,1.082,0,0,0,1.341,1.932,1.239,0,1.43,0,0,0,0,0,1.614,0,0,0,0,0,1.225,3.13,0,0,0,3.056,1.037,3.062,5.69,0,0,0.907,0,0,0,1.03,0.982,1.119,0,2.326,5.683,1.075,0,0.934,1.012,1.01,0.965,0,0,0,0,0,0,1.073,1.012,1.04,0,0,0.843,0,0,0,0,0,0,0,0,0,0,0,0,0.644,0,0,0,2.8,2.098,1.035,1.075,1.056,1.173,3.402,0.958,1.007
2020/1/20,0.793,1.08,1.107,0,0,0,0,0,0,0,0,0,0,0,0.751,0,0,0,0,0,0,0,0,1.8,0,0,0,1.148,0,1.655,1.086,0,1.392,0.912,1.27,0,0,0,1.097,0,0,0,0,0,0,0,1.168,0,1.551,1.071,0,0,0,1.366,2.015,1.3,0,1.462,0,0,0,0,0,1.67,0,0,0,0,0,1.232,3.11,0,0,0,3.018,1.037,3.07,5.71,0,0,0.903,0,0,0,1.031,0.985,1.12,0,2.364,5.696,1.074,0,0.933,1.006,1.004,0.956,0,0,0,0,0,0,1.082,1.006,1.026,0,0,0.837,0,0,0,0,0,0,0,0,0,0,0,0,0.644,0,0,0,2.784,2.09,1.038,1.075,1.059,1.211,3.407,0.956,0.996
2020/1/21,0.808,1.1,1.125,0,0,0,0,0,0,0,0,0,0,0,0.758,0,0,0,0,0,0,0,0,1.872,0,0,0,1.177,0,1.732,1.125,0,1.433,0.909,1.3,0,0,0,1.12,0,0,0,0,0,0,0,1.196,0,1.569,1.09,0,0,0,1.381,2.008,1.308,0,1.496,0,0,0,0,0,1.698,0,0,0,0,0,1.214,3.093,0,0,0,2.985,1.03,3.051,5.75,0,0,0.895,0,0,0,1.04,0.993,1.122,0,2.373,5.746,1.089,0,0.93,1.008,1.002,0.971,0,0,0,0,0,0,1.098,1.012,1.028,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.645,0,0,0,2.784,2.095,1.033,1.073,1.06,1.278,3.425,0.957,1.004
2020/1/22,0.795,1.08,1.122,0,0,0,0,0,0,0,0,0,0,0,0.732,0,0,0,0,0,0,0,0,1.888,0,0,0,1.156,0,1.739,1.112,0,1.403,0.885,1.277,0,0,0,1.109,0,0,0,0,0,0,0,1.183,0,1.551,1.069,0,0,0,1.39,2.015,1.345,0,1.516,0,0,0,0,0,1.683,0,0,0,0,0,1.185,3.011,0,0,0,2.941,1.005,2.99,5.7,0,0,0.88,0,0,0,1.02,0.975,1.108,0,2.31,5.623,1.051,0,0.906,0.994,0.99,0.952,0,0,0,0,0,0,1.084,0.992,1.012,0,0,0.838,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,2.732,2.039,1.017,1.057,1.039,1.201,3.409,0.956,0.99
2020/1/23,0.796,1.081,1.125,0,0,0,0,0,0,0,0,0,0,0,0.738,0,0,0,0,0,0,0,0,1.978,0,0,0,1.174,0,1.835,1.142,0,1.437,0.89,1.311,0,0,0,1.132,0,0,0,0,0,0,0,1.19,0,1.61,1.091,0,0,0,1.366,1.978,1.323,0,1.484,0,0,0,0,0,1.667,0,0,0,0,0,1.184,2.998,0,0,0,2.92,1,2.971,5.653,0,0,0.886,0,0,0,1.02,0.976,1.1,0,2.314,5.628,1.063,0,0.91,0.998,0.985,0.952,0,0,0,0,0,0,1.08,0.989,1.024,0,0,0.853,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,2.72,2.045,1.017,1.049,1.038,1.258,3.428,0.952,0.985
2020/2/3,0.711,0.958,1.035,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,1.76,0,0,0,1.026,0,1.649,1.006,0,1.269,0.79,1.151,0,0,0,0.995,0,0,0,0,0,0,0,1.047,0,1.39,0.957,0,0,0,1.416,2.005,1.33,0,1.43,0,0,0,0,0,1.666,0,0,0,0,0,1.045,2.616,0,0,0,2.6,0.9,2.653,4.982,0,0,0.775,0,0,0,0.895,0.852,1,0,2.02,5.073,0.975,0,0.802,0.873,0.938,0.917,0,0,0,0,0,0,0.984,0.869,0.9,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.563,0,0,0,2.456,1.836,0.9,0.945,0.955,1.103,3.51,0.908,0.9
