fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,511399,,38.92,0.32,0.761,10814.48,2023-08-25,15:14:03,-0.26,0.7608,23:50:01,0.03,0.7608,2023-08-25,中国A50互联互通,-0.24,2023-08-25,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,197454,,15.01,0.09,0.760,2258.26,2023-08-25,15:14:42,-0.26,0.7591,23:50:01,0.05,0.7596,2023-08-25,中国A50互联互通,-0.24,2023-08-25,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,238307,,18.87,0.00,0.792,201.47,2023-08-25,15:14:12,-1.12,0.7913,23:50:01,0.09,0.7913,2023-08-25,科创创业50,-1.29,2023-08-25,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,61922,,4.72,0.00,0.763,998.06,2023-08-25,15:14:09,-0.91,0.7621,23:50:01,0.10,0.7622,2023-08-25,500质量,-1.14,2023-08-25,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,42161,,2.50,0.01,0.592,1234.13,2023-08-25,15:14:06,-1.82,0.5918,23:50:01,0.02,0.5919,2023-08-25,CS稀金属,-1.29,2023-08-25,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,45790,,2.73,-0.04,0.597,1258.53,2023-08-25,15:14:51,-0.67,0.5965,23:50:01,0.07,0.5966,2023-08-25,光伏产业,-0.75,2023-08-25,0,0,-,-
159610,500增强,000905,0.60,0.50,0.10,100.0,景顺长城,http://www.igwfmc.com/main/jjcp/product/159610/detail.html,Y,,,59257,,4.68,-0.05,0.789,838.44,2023-08-25,15:14:12,-0.38,0.7839,23:50:01,0.42,0.7857,2023-08-25,中证500,-1.26,2023-08-25,0,0,-,-
159611,电力ETF,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159611&fromSearch=1,Y,,,278876,,24.62,-0.02,0.883,9481.93,2023-08-25,15:14:09,0.46,0.8860,23:50:01,-0.35,0.8861,2023-08-25,电力指数,0.78,2023-08-25,0,0,-,-
159613,嘉实信安,399994,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/159613/fundManager.shtml,Y,,,10859,,0.88,0.01,0.810,985.72,2023-08-25,15:14:15,-4.59,0.8118,23:50:01,-0.25,0.8120,2023-08-25,信息安全,-4.30,2023-08-25,0,0,-,-
159616,农牧ETF,-,0.60,0.50,0.10,100.0,建信基金,https://www.ccbfund.cn/fund_info/info.jspx?fundCode=159616,Y,,,11756,,0.88,0.00,0.749,298.42,2023-08-25,15:14:12,0.00,0.7485,23:50:01,0.07,0.7485,2023-08-25,农牧主题,0.12,2023-08-25,0,0,-,-
159617,500价值,-,0.60,0.50,0.10,100.0,华夏基金,http://www.chinaamc.com/fund/159617/index.shtml,Y,,,4742,,0.50,0.00,1.046,180.53,2023-08-25,15:14:15,-0.57,1.0480,23:50:01,-0.18,1.0479,2023-08-25,500价值稳健,-0.48,2023-08-25,0,0,-,-
159618,光伏华安,-,0.60,0.50,0.10,100.0,华安基金,https://www.huaan.com.cn/funds/159618/index.shtml,Y,,,26313,,2.16,0.00,0.822,443.30,2023-08-25,15:14:18,-0.60,0.8209,23:50:01,0.12,0.8210,2023-08-25,光伏产业,-0.75,2023-08-25,0,0,-,-
