name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
纳指ETF,513100,1.157,10149,10000,跨境，美国,0.80%,国泰基金,2013-05-15,纳斯达克100指数,34135.46,10423,14481,13856,13457,23709,92.22
黄金ETF,518880,4.591,10015,10000,商品，黄金,0.60%,华安基金,2013-07-29,黄金9999指数,64717.81,10048,11518,11778,12259,16768,120.91
半导体ETF,512480,0.817,10136,9957,行业，半导体，芯片,0.60%,国联安基金,2019-06-12,半导体指数,76180.13,9284,9915,9263,7364,10000,268.12
港股创新药ETF,513120,0.784,9949,10000,跨境，香港，医药,0.60%,广发基金,2022-07-12,港股创新药港币指数,197301.73,8522,7992,8578,10000,10000,40.66
豆粕ETF,159985,2.245,10108,9999,商品，农产品,0.60%,华夏基金,2019-12-05,大商所豆粕期货价格指数,8884.83,9549,11169,11954,19728,10000,9.25
恒生科技指数ETF,513180,0.502,10000,10000,跨境，香港，科技,0.65%,华夏基金,2021-05-25,恒生科技指数,257020.78,9045,9144,9177,10000,10000,215.86
煤炭ETF,515220,2.329,9966,10033,行业，煤炭，资源,0.60%,国泰基金,2020-03-02,中证煤炭指数,11728.82,10713,10939,10040,19619,10000,26.93
科创50ETF,588000,0.91,10213,9961,宽基，中小盘，科创板,0.60%,华夏基金,2020-11-16,科创50指数,240090.01,9733,9073,8700,6445,10000,946.73
游戏ETF,159869,1.15,10026,9982,主题，游戏,0.60%,华夏基金,2021-03-05,动漫游戏指数,59076.62,10379,15072,14687,10000,10000,60.62
恒生医疗ETF,513060,0.452,9934,10000,跨境，香港，医药，医疗保健,0.65%,博时基金,2021-03-29,恒生医疗保健指数,138320.92,8777,7546,7674,10000,10000,131.11
证券ETF,512880,0.925,9925,10007,行业，金融，证券,0.60%,国泰基金,2016-08-08,证券公司指数,86615.09,9372,10644,10143,7563,11997,316.75
沪深300ETF,510300,3.461,10020,9989,宽基，大盘股,0.60%,华泰柏瑞基金,2012-05-28,沪深300指数,302377.6,9379,8927,8755,7098,11574,1200.4
酒ETF,512690,0.704,10057,10020,行业，食品饮料，酒,0.60%,鹏华基金,2019-05-06,中证酒指数,37789.91,9179,8282,8617,8415,10000,134.54
医疗ETF,512170,0.4,10101,9987,行业，医药,0.60%,华宝基金,2019-06-17,中证医疗指数,49417.45,9434,7874,7937,5571,10000,270.03
德国ETF,513030,1.259,10056,10000,跨境，德国,1.00%,华安基金,2014-09-05,德国DAX指数,2399.52,10967,12188,12129,11508,12873,5.06
创新药ETF,159992,0.838,10024,9969,行业，医药,0.55%,银华基金,2020-04-10,CS创新药指数,30415.14,9384,8943,8887,6446,10000,85.4
标普500ETF,513500,1.545,10078,10000,跨境，美国,0.85%,博时基金,2014-01-15,标准普尔500指数,10934.04,10355,12311,11903,13660,17955,75.86
创业板ETF,159915,1.843,10077,9994,宽基，中小盘,0.60%,易方达基金,2011-12-09,创业板指,107623.55,9370,8087,7866,7013,14455,397.92
教育ETF,513360,0.635,10128,10000,跨境，教育,0.65%,博时基金,2021-06-17,中国教育人民币指数,11547.87,10818,12049,13039,10000,10000,3.86
光伏ETF,515790,0.835,10000,9990,主题，光伏，新兴产业,0.60%,华泰柏瑞基金,2020-12-18,光伏产业指数,30888.85,8921,6077,5839,10000,10000,136.18
上证50ETF,510050,2.314,10030,9996,宽基，大盘股,0.60%,华夏基金,2005-02-23,上证50指数,173178.54,9323,8876,8802,6879,10269,643.34
云计算ETF,516510,0.97,10385,10028,主题，TMT，互联网,0.20%,易方达基金,2021-04-07,云计算指数,11790.04,10363,12095,11829,10000,10000,10.52
军工ETF,512660,0.944,9854,9990,行业，军工,0.60%,国泰基金,2016-08-08,中证军工指数,20174.08,9652,8773,8317,8230,14390,97.39
恒生互联网ETF,513330,0.358,10056,10000,跨境，香港，互联网,0.65%,华夏基金,2021-02-08,恒生互联网科技业指数,209313.49,8995,7732,8009,10000,10000,289.22
中概互联ETF,159605,0.736,10041,10000,跨境，中概股,0.60%,广发基金,2021-12-02,中国互联网30人民币指数,81865.58,9710,9154,9235,10000,10000,81.62
创业板50ETF,159949,0.784,10129,10007,宽基，中小盘,0.60%,华安基金,2016-07-22,创业板50指数,44602.68,9245,7619,7403,7038,16575,180.13
日经ETF,513520,1.23,9911,10000,跨境，日本,0.25%,华夏基金,2019-06-25,日经225指数,3507.79,10371,11988,11659,9984,10000,5.05
恒生科技ETF,513130,0.498,10020,10000,跨境，香港，科技,0.25%,华泰柏瑞基金,2021-06-01,恒生科技指数,180692.57,9005,9104,9138,10000,10000,134.26
汽车ETF,516110,1.03,9894,10020,行业，汽车,0.60%,国泰基金,2021-05-07,800汽车指数,9490.58,9564,10586,9885,10000,10000,14.91
恒生ETF,159920,0.971,10031,10000,跨境，香港,0.75%,华夏基金,2012-10-22,香港恒生指数,58306.04,9135,8654,8933,6951,6936,156.62
芯片ETF,159995,0.939,10162,9964,行业，半导体，芯片,0.60%,华夏基金,2020-02-10,国证芯片指数,36417.32,9197,9390,8825,7530,10000,266.56
传媒ETF,512980,0.798,9938,10003,行业，TMT，传媒,0.60%,广发基金,2018-01-19,中证传媒指数,20301.55,10310,13322,13082,8712,11582,43.75
人工智能ETF,159819,0.779,10332,10005,主题，新兴产业，人工智能,0.20%,易方达基金,2020-09-23,CS人工智能指数,22986.72,10078,11575,10941,7893,10000,40.79
中概互联网ETF,513050,0.953,10032,10000,跨境，中概股,0.85%,易方达基金,2017-01-18,中国互联网50指数,59315.99,9436,9155,9199,4571,8367,348.42
新能源ETF,516160,0.623,9968,9982,主题，新能源，新兴产业,0.20%,南方基金,2021-02-04,中证新能指数,15517.45,9042,6312,5894,10000,10000,64.58
消费ETF,159928,0.861,10012,10017,行业，消费，必选消费,0.60%,汇添富基金,2013-09-16,中证消费指数,9680.94,9482,8247,8392,7116,18588,104.58
芯片ETF,512760,0.91,10111,9940,行业，半导体，芯片,0.60%,国泰基金,2019-06-12,中华半导体人民币指数,25779.69,9201,9743,9082,7398,10000,180.01
新能源车ETF,515030,1.18,9975,9999,主题，新兴产业，新能源车,0.60%,华夏基金,2020-03-04,CS新能车指数,15285.05,9140,7032,6424,8501,10000,95.71
红利低波100ETF,515100,1.74,10000,10029,策略，低波动，红利,0.60%,景顺长城基金,2020-07-03,红利低波100指数,7858.04,10017,11417,10943,14204,10000,19.71
