Date,nlmy,jchg,gt,ysjs,dz,jydq,spyl,fzfs,qgzz,yysw,gysy,jtys,fdc,smls,shfw,zh,jzcl,jzzs,dlsb,gfjg,jsj,cm,tx,yx,fyjr,qc,jxsb,ms,sysh,hb,mrhl
Code,801010.SI,801030.SI,801040.SI,801050.SI,801080.SI,801110.SI,801120.SI,801130.SI,801140.SI,801150.SI,801160.SI,801170.SI,801180.SI,801200.SI,801210.SI,801230.SI,801710.SI,801720.SI,801730.SI,801740.SI,801750.SI,801760.SI,801770.SI,801780.SI,801790.SI,801880.SI,801890.SI,801950.SI,801960.SI,801970.SI,801980.SI
2020/1/2,"3,394.96","2,744.55","2,150.93","3,080.88","3,601.22","7,995.19","15,350.16","1,964.91","2,298.67","8,015.29","2,000.49","2,393.93","4,341.60","3,306.18","6,259.91","2,157.92","6,426.74","2,137.65","4,457.71","1,144.33","4,801.25",709.89,"2,352.39","3,884.36","2,158.43","3,988.84","1,196.99","1,622.23","1,913.01","1,957.69","4,989.95"
2020/1/3,"3,425.51","2,759.43","2,144.84","3,130.58","3,618.87","7,876.44","15,055.03","1,961.34","2,302.32","7,988.10","2,006.55","2,384.88","4,304.69","3,324.80","6,287.88","2,155.38","6,363.97","2,144.62","4,479.98","1,166.56","4,830.90",720.3,"2,379.79","3,894.21","2,159.52","3,998.72","1,197.83","1,622.50","1,940.28","1,973.65","5,015.44"
2020/1/6,"3,494.01","2,773.02","2,135.63","3,231.07","3,665.73","7,786.03","14,938.76","1,954.92","2,312.33","7,940.18","2,005.92","2,364.57","4,264.86","3,337.69","6,279.09","2,185.80","6,346.97","2,146.84","4,529.54","1,183.36","4,883.99",731.01,"2,392.71","3,867.89","2,150.25","4,008.75","1,199.55","1,641.78","1,990.39","1,977.17","5,010.44"
2020/1/7,"3,624.72","2,786.18","2,179.71","3,205.71","3,663.96","7,910.89","15,155.38","1,972.04","2,340.45","8,064.95","2,023.89","2,381.54","4,304.58","3,389.46","6,373.72","2,221.82","6,384.31","2,161.12","4,578.04","1,189.49","4,988.35",754.08,"2,413.64","3,884.75","2,167.09","4,063.65","1,210.59","1,675.33","1,965.55","2,004.22","5,070.24"
2020/1/8,"3,559.93","2,746.78","2,132.66","3,207.27","3,619.11","7,975.01","15,094.25","1,931.27","2,307.87","7,970.40","1,996.13","2,344.40","4,235.60","3,322.13","6,321.04","2,189.42","6,278.36","2,127.26","4,570.02","1,218.70","4,902.42",734.39,"2,358.79","3,822.32","2,114.64","4,101.23","1,194.91","1,637.16","1,959.42","1,967.02","4,964.10"
2020/1/9,"3,566.77","2,782.33","2,146.87","3,169.95","3,711.10","8,102.15","15,330.37","1,961.53","2,342.93","8,181.87","2,010.72","2,377.14","4,318.75","3,376.79","6,455.57","2,219.82","6,363.90","2,151.80","4,643.38","1,196.06","5,055.43",746.18,"2,432.20","3,843.52","2,135.07","4,148.09","1,212.69","1,642.47","1,938.11","1,993.56","5,130.20"
2020/1/10,"3,493.82","2,772.78","2,132.44","3,151.53","3,734.48","8,125.64","15,516.36","1,951.67","2,356.59","8,211.10","2,000.64","2,374.76","4,272.20","3,408.39","6,467.01","2,205.81","6,410.22","2,144.13","4,593.74","1,181.06","5,040.11",740.63,"2,426.87","3,843.87","2,132.62","4,112.48","1,209.61","1,631.89","1,923.26","1,991.93","5,129.60"
2020/1/13,"3,517.73","2,812.91","2,140.31","3,178.38","3,849.46","8,150.55","15,766.03","1,966.21","2,373.83","8,273.13","2,009.40","2,379.25","4,309.89","3,423.83","6,372.52","2,224.72","6,386.02","2,157.84","4,665.03","1,187.44","5,142.79",746.58,"2,458.21","3,852.59","2,164.95","4,201.57","1,217.13","1,636.42","1,937.83","2,015.94","5,188.77"
2020/1/14,"3,520.44","2,818.33","2,145.97","3,242.47","3,830.80","8,145.67","15,563.60","1,979.43","2,371.37","8,228.22","2,026.14","2,373.62","4,298.85","3,406.34","6,300.79","2,236.86","6,369.43","2,163.04","4,647.43","1,180.35","5,091.90",747.34,"2,432.29","3,841.93","2,154.79","4,190.14","1,216.70","1,635.54","1,940.39","2,065.49","5,132.84"
